opportunity_id,from_stage,to_stage,changed_date
opp-co-102-01,,Prospecting,2025-09-05
opp-co-103-01,,Prospecting,2025-10-30
opp-co-103-01,Prospecting,Qualification,2025-11-13
opp-co-103-01,Qualification,Proposal,2025-12-02
opp-co-103-01,Proposal,Negotiation,2025-12-11
opp-co-122-01,,Prospecting,2025-10-09
opp-co-122-01,Prospecting,Qualification,2025-10-22
opp-co-124-01,,Prospecting,2026-01-22
opp-co-124-01,Prospecting,Qualification,2026-02-03
opp-co-124-01,Qualification,Proposal,2026-02-22
opp-co-124-01,Proposal,Closed Lost,2026-03-12
opp-co-125-01,,Prospecting,2025-10-04
opp-co-125-01,Prospecting,Qualification,2025-10-14
opp-co-140-01,,Prospecting,2025-08-07
opp-co-141-01,,Prospecting,2026-02-10
opp-co-142-01,,Prospecting,2026-01-23
opp-co-143-01,,Prospecting,2026-02-28
opp-co-143-01,Prospecting,Qualification,2026-03-13
opp-co-143-01,Qualification,Proposal,2026-03-28
opp-co-144-01,,Prospecting,2026-02-08
opp-co-145-01,,Prospecting,2025-09-03
opp-co-146-01,,Prospecting,2025-09-27
opp-co-146-01,Prospecting,Qualification,2025-10-07
opp-co-146-01,Qualification,Proposal,2025-10-23
opp-co-147-01,,Prospecting,2025-08-30
opp-co-147-01,Prospecting,Qualification,2025-09-04
opp-co-147-01,Qualification,Proposal,2025-09-22
opp-co-147-01,Proposal,Negotiation,2025-10-09
opp-co-148-01,,Prospecting,2026-02-06
opp-co-148-01,Prospecting,Qualification,2026-02-22
opp-co-148-01,Qualification,Proposal,2026-03-08
opp-co-148-01,Proposal,Negotiation,2026-03-23
opp-co-149-01,,Prospecting,2025-07-29
opp-co-150-01,,Prospecting,2026-01-26
opp-co-150-01,Prospecting,Qualification,2026-02-04
opp-co-151-01,,Prospecting,2025-09-25
opp-co-151-01,Prospecting,Qualification,2025-10-11
opp-co-151-01,Qualification,Proposal,2025-10-24
opp-co-152-01,,Prospecting,2025-11-26
opp-co-152-01,Prospecting,Qualification,2025-12-05
opp-co-152-01,Qualification,Proposal,2025-12-21
opp-co-152-01,Proposal,Negotiation,2025-12-27
opp-co-153-01,,Prospecting,2026-02-12
opp-co-154-01,,Prospecting,2025-11-25
opp-co-154-01,Prospecting,Qualification,2025-12-01
opp-co-154-01,Qualification,Proposal,2025-12-19
opp-co-154-01,Proposal,Negotiation,2025-12-29
opp-co-155-01,,Prospecting,2025-11-26
opp-co-155-01,Prospecting,Qualification,2025-12-14
opp-co-155-01,Qualification,Proposal,2025-12-27
opp-co-156-01,,Prospecting,2025-08-22
opp-co-156-01,Prospecting,Qualification,2025-08-26
opp-co-156-01,Qualification,Proposal,2025-09-03
opp-co-156-01,Proposal,Negotiation,2025-09-10
opp-co-157-01,,Prospecting,2026-01-01
opp-co-158-01,,Prospecting,2026-02-01
opp-co-158-01,Prospecting,Qualification,2026-02-08
opp-co-158-01,Qualification,Proposal,2026-02-16
opp-co-159-01,,Prospecting,2026-02-12
opp-co-160-01,,Prospecting,2025-08-15
opp-co-160-01,Prospecting,Qualification,2025-08-23
opp-co-161-01,,Prospecting,2025-08-22
opp-co-161-01,Prospecting,Qualification,2025-09-08
opp-co-162-01,,Prospecting,2026-01-13
opp-co-162-01,Prospecting,Qualification,2026-01-30
opp-co-162-01,Qualification,Proposal,2026-02-03
opp-co-163-01,,Prospecting,2025-10-24
opp-co-163-01,Prospecting,Qualification,2025-11-10
opp-co-163-01,Qualification,Proposal,2025-11-14
opp-co-164-01,,Prospecting,2025-11-06
opp-co-165-01,,Prospecting,2025-07-30
opp-co-166-01,,Prospecting,2025-08-02
opp-co-166-01,Prospecting,Qualification,2025-08-22
opp-co-167-01,,Prospecting,2025-12-10
opp-co-167-01,Prospecting,Qualification,2025-12-20
opp-co-167-01,Qualification,Proposal,2025-12-24
opp-co-168-01,,Prospecting,2025-08-07
opp-co-168-01,Prospecting,Qualification,2025-08-11
opp-co-168-01,Qualification,Proposal,2025-08-30
opp-co-168-01,Proposal,Negotiation,2025-09-16
opp-co-169-01,,Prospecting,2025-09-24
opp-co-169-01,Prospecting,Qualification,2025-10-06
opp-co-170-01,,Prospecting,2025-10-04
opp-co-170-01,Prospecting,Qualification,2025-10-10
opp-co-170-01,Qualification,Proposal,2025-10-28
opp-co-170-01,Proposal,Negotiation,2025-11-18
