line_id,account_code,account_name,statement_section,normal_balance,section_sign,owner_role,budget_amount,explanation_threshold_usd,period,actual_amount,variance_amount,variance_pct,prior_period,prior_period_actual,flux_amount,flux_pct,variance_explanation
BVA-01,4000,Subscription Revenue - Enterprise,revenue,credit,1,FP&A Analyst,2202500.00,111000,2026-03,2232152.13,29652.13,1.35,2026-02,2130335.46,101816.67,4.78,
BVA-02,4010,Subscription Revenue - Mid-Market,revenue,credit,1,FP&A Analyst,1062400.00,54000,2026-03,1089456.80,27056.80,2.55,2026-02,1024315.22,65141.58,6.36,
BVA-03,4020,Subscription Revenue - Small Team,revenue,credit,1,FP&A Analyst,334800.00,17000,2026-03,324787.26,-10012.74,-2.99,2026-02,337252.17,-12464.91,-3.70,
BVA-04,4100,Professional Services Revenue,revenue,credit,1,FP&A Analyst,436200.00,22000,2026-03,459910.01,23710.01,5.44,2026-02,461715.87,-1805.86,-0.39,
BVA-05,4200,Interest Income,revenue,credit,1,FP&A Analyst,99200.00,10000,2026-03,93773.11,-5426.89,-5.47,2026-02,97978.14,-4205.03,-4.29,
BVA-06,4900,Sales Discounts and Credits,revenue,debit,-1,FP&A Analyst,48800.00,10000,2026-03,45395.51,-3404.49,-6.98,2026-02,47458.26,-2062.75,-4.35,
BVA-07,5000,Hosting and Infrastructure,cost_of_revenue,debit,1,Finance Manager,333900.00,17000,2026-03,346047.16,12147.16,3.64,2026-02,331392.69,14654.47,4.42,
BVA-08,5010,Third-Party Software in Product,cost_of_revenue,debit,1,Finance Manager,74700.00,10000,2026-03,75958.62,1258.62,1.68,2026-02,76608.78,-650.16,-0.85,
BVA-09,5020,Customer Support Salaries,cost_of_revenue,debit,1,Finance Manager,305200.00,16000,2026-03,322718.43,17518.43,5.74,2026-02,320729.47,1988.96,0.62,
BVA-10,5100,Payment Processing Fees,cost_of_revenue,debit,1,Finance Manager,53300.00,10000,2026-03,50057.94,-3242.06,-6.08,2026-02,51855.93,-1797.99,-3.47,
BVA-11,6000,Salaries and Wages,operating_expense,debit,1,Finance Manager,2422600.00,122000,2026-03,2529406.57,106806.57,4.41,2026-02,2290002.83,239403.74,10.45,
BVA-12,6010,Payroll Taxes,operating_expense,debit,1,Finance Manager,250500.00,13000,2026-03,258773.91,8273.91,3.30,2026-02,253790.71,4983.20,1.96,
BVA-13,6020,Employee Benefits,operating_expense,debit,1,Finance Manager,292500.00,15000,2026-03,275365.45,-17134.55,-5.86,2026-02,283065.12,-7699.67,-2.72,
BVA-14,6030,Contractors and Consultants,operating_expense,debit,1,Finance Manager,131800.00,10000,2026-03,129731.71,-2068.29,-1.57,2026-02,125483.97,4247.74,3.39,
BVA-15,6040,Recruiting,operating_expense,debit,1,Finance Manager,45700.00,10000,2026-03,45739.96,39.96,0.09,2026-02,47910.91,-2170.95,-4.53,
BVA-16,6100,Rent and Facilities,operating_expense,debit,1,Finance Manager,307900.00,16000,2026-03,307964.68,64.68,0.02,2026-02,314118.63,-6153.95,-1.96,
BVA-17,6110,Utilities,operating_expense,debit,1,Finance Manager,101500.00,10000,2026-03,101090.05,-409.95,-0.40,2026-02,98795.35,2294.70,2.32,
BVA-18,6120,Office Expense,operating_expense,debit,1,Finance Manager,45200.00,10000,2026-03,46277.01,1077.01,2.38,2026-02,45472.91,804.10,1.77,
BVA-19,6200,Software Subscriptions,operating_expense,debit,1,Finance Manager,661400.00,34000,2026-03,708443.50,47043.50,7.11,2026-02,639150.86,69292.64,10.84,
BVA-20,6300,Marketing Programs,operating_expense,debit,1,Finance Manager,134500.00,10000,2026-03,137442.45,2942.45,2.19,2026-02,153963.57,-16521.12,-10.73,
BVA-21,6310,Events and Conferences,operating_expense,debit,1,Finance Manager,18300.00,10000,2026-03,18397.34,97.34,0.53,2026-02,18939.90,-542.56,-2.86,
BVA-22,6400,Travel and Entertainment,operating_expense,debit,1,Finance Manager,56500.00,10000,2026-03,56214.98,-285.02,-0.50,2026-02,56810.06,-595.08,-1.05,
BVA-23,6500,Professional Fees - Legal,operating_expense,debit,1,Finance Manager,53200.00,10000,2026-03,52492.42,-707.58,-1.33,2026-02,55718.96,-3226.54,-5.79,
BVA-24,6510,Professional Fees - Accounting and Audit,operating_expense,debit,1,Finance Manager,44100.00,10000,2026-03,46236.93,2136.93,4.85,2026-02,43694.93,2542.00,5.82,
BVA-25,6600,Insurance,operating_expense,debit,1,Finance Manager,51700.00,10000,2026-03,48283.22,-3416.78,-6.61,2026-02,49199.81,-916.59,-1.86,
BVA-26,6700,Bank Fees and Service Charges,operating_expense,debit,1,Finance Manager,400.00,10000,2026-03,365.60,-34.40,-8.60,2026-02,378.69,-13.09,-3.46,
BVA-27,6800,Depreciation and Amortization,operating_expense,debit,1,Finance Manager,369200.00,19000,2026-03,365723.65,-3476.35,-0.94,2026-02,345165.91,20557.74,5.96,
