entry_id,posting_date,approved_date,entry_type,line_count,entry_total,currency,prepared_by_employee_id,approved_by_employee_id,distinct_accounts,source_document_count,supports_close_task,memo_disclosure_class
JE-202603-C001,2026-03-01,2026-04-05,accrual_reversal,2,252305.99,USD,EMP-0486,EMP-0473,2,1,CLS-15,routine
JE-202603-C002,2026-03-01,2026-04-01,accrual_reversal,2,36048.25,USD,EMP-0486,EMP-0473,2,1,CLS-15,routine
JE-202603-C003,2026-03-01,2026-04-06,accrual_reversal,2,33319.84,USD,EMP-0486,EMP-0473,2,1,CLS-15,routine
JE-202603-C004,2026-03-02,2026-04-04,accrual_reversal,2,13276.41,USD,EMP-0486,EMP-0473,2,1,CLS-15,routine
JE-202603-C005,2026-03-27,2026-04-06,accrual,4,2428.86,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C006,2026-03-27,2026-04-04,accrual,3,118832.82,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C007,2026-03-27,2026-04-07,accrual,3,11631.39,USD,EMP-0486,EMP-0473,3,1,CLS-15,judgemental
JE-202603-C008,2026-03-28,2026-04-04,accrual,2,6899.96,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C009,2026-03-28,2026-04-06,accrual,4,106985.52,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C010,2026-03-28,2026-04-02,accrual,3,85700.64,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C011,2026-03-28,2026-04-07,accrual,3,17692.60,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C012,2026-03-29,2026-04-02,accrual,2,30393.74,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C013,2026-03-29,2026-04-01,accrual,3,27674.64,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C014,2026-03-29,2026-04-05,accrual,2,18273.69,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C015,2026-03-30,2026-04-03,accrual,2,26862.09,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C016,2026-03-30,2026-04-05,accrual,3,5305.41,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C017,2026-03-30,2026-04-03,accrual,3,15466.82,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C018,2026-03-30,2026-04-03,accrual,2,18273.69,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C019,2026-03-31,2026-04-06,accrual,2,17349.64,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C020,2026-03-31,2026-04-01,accrual,2,12773.75,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C021,2026-03-31,2026-04-06,accrual,3,20623.20,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C022,2026-03-31,2026-04-06,accrual,3,33319.84,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C023,2026-03-31,2026-04-03,accrual,3,4268.64,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C024,2026-03-31,2026-04-02,depreciation,2,110907.33,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C025,2026-03-31,2026-04-04,depreciation,2,86701.17,USD,EMP-0486,EMP-0473,2,0,CLS-15,judgemental
JE-202603-C026,2026-03-31,2026-04-04,amortization,2,66779.06,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C027,2026-03-31,2026-04-02,amortization,2,35787.26,USD,EMP-0486,EMP-0473,2,0,CLS-15,judgemental
JE-202603-C028,2026-03-31,2026-04-04,reclass,2,9996.39,USD,EMP-0486,EMP-0473,2,1,CLS-15,routine
JE-202603-C029,2026-03-31,2026-04-04,allocation,2,14204.84,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C030,2026-03-31,2026-04-02,accrual,2,17645.70,USD,EMP-0486,EMP-0473,2,1,CLS-15,judgemental
JE-202603-C031,2026-03-31,2026-04-04,standard,4,62248.71,USD,EMP-0486,EMP-0473,4,0,CLS-15,unsupported
