customer_canon_id,customer_name,document_type,document_number,document_date,due_date,terms,original_amount,open_balance,currency,days_past_due,aging_bucket,applied_to_document,ar_owner_employee_id
co-102,Amberfield Logistics,invoice,INV-2026-0203,2026-02-03,2026-04-04,net_60,53222.98,53222.98,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,credit_memo,CM-2026-0003,2026-02-17,2026-03-19,net_30,-10036.54,-10036.54,USD,12,1-30,INV-2026-0203,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0213,2026-02-17,2026-04-18,net_60,108362.17,51840.46,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0503,2026-03-02,2026-04-16,net_45,77590.40,77590.40,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0504,2026-03-04,2026-04-03,net_30,111471.92,111471.92,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0506,2026-03-05,2026-04-19,net_45,116390.91,116390.91,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0507,2026-03-05,2026-04-04,net_30,36850.68,36850.68,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0512,2026-03-16,2026-03-31,net_15,103731.64,55423.82,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0532,2026-03-25,2026-04-09,net_15,92634.27,92634.27,USD,0,current,,EMP-0472
co-102,Amberfield Logistics,invoice,INV-2026-0538,2026-03-31,2026-04-15,net_15,76305.38,76305.38,USD,0,current,,EMP-0472
co-103,Fernwell Retail Group,invoice,INV-2025-0801,2025-11-14,2025-12-14,net_30,21725.94,21725.94,USD,107,90+,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0832,2025-12-09,2026-01-23,net_45,19079.36,19079.36,USD,67,61-90,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0840,2025-12-18,2026-01-02,net_15,4110.32,4110.32,USD,88,61-90,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0841,2025-12-18,2026-01-17,net_30,15966.31,15966.31,USD,73,61-90,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0843,2025-12-19,2026-02-02,net_45,34123.11,34123.11,USD,57,31-60,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0844,2025-12-24,2026-02-07,net_45,36921.42,17921.66,USD,52,31-60,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0845,2025-12-25,2026-01-24,net_30,22700.33,13876.71,USD,66,61-90,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0851,2025-12-29,2026-02-27,net_60,41388.99,41388.99,USD,32,31-60,,EMP-0479
co-103,Fernwell Retail Group,invoice,INV-2025-0852,2025-12-30,2026-01-29,net_30,21991.95,21991.95,USD,61,61-90,,EMP-0479
co-103,Fernwell Retail Group,credit_memo,CM-2026-0006,2026-03-14,2026-04-13,net_30,-4837.72,-4837.72,USD,0,current,,EMP-0479
