account_code,account_name,bank_canon_id,bank_name,account_number_masked,period_end,book_balance,bank_balance,reconciling_difference,source_artifact
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-04-30,2546004.83,2601812.14,55807.31,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-05-31,2676681.36,2735933.42,59252.06,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-06-30,2824693.48,2848032.25,23338.77,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-07-31,2632716.19,2689143.80,56427.61,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-08-31,2842062.84,2910796.90,68734.06,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-09-30,2757402.50,2780721.85,23319.35,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-10-31,2772494.00,2799780.93,27286.93,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-11-30,2711480.12,2798392.97,86912.85,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2024-12-31,2927467.01,2975838.97,48371.96,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-01-31,3065918.97,3144190.62,78271.65,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-02-28,2829940.74,2910132.39,80191.65,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-03-31,3181164.94,3246010.70,64845.76,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-04-30,2985562.80,3045008.08,59445.28,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-05-31,3221628.15,3286247.21,64619.06,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-06-30,3253134.96,3287724.59,34589.63,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-07-31,3115661.30,3172417.07,56755.77,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-08-31,3198811.96,3236314.39,37502.43,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-09-30,3385447.05,3462174.90,76727.85,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-10-31,3433518.32,3525232.87,91714.55,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-11-30,3293241.78,3311534.15,18292.37,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2025-12-31,3305099.09,3351203.96,46104.87,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2026-01-31,3351630.24,3435135.41,83505.17,
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2026-02-28,3482915.22,3482915.22,0.00,FIN-05 and FIN-01
1010,Operating Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4410,2026-03-31,2740359.09,2806284.46,65925.37,FIN-05 and FIN-01
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-04-30,213388.23,213388.23,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-05-31,229170.83,229170.83,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-06-30,217564.56,217564.56,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-07-31,217968.92,217968.92,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-08-31,223918.87,223918.87,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-09-30,231433.51,231433.51,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-10-31,235422.04,235422.04,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-11-30,233955.65,233955.65,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2024-12-31,232142.50,232142.50,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-01-31,226595.86,226595.86,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-02-28,239600.80,239600.80,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-03-31,239766.14,239766.14,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-04-30,243376.67,243376.67,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-05-31,240182.76,240182.76,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-06-30,238125.37,238125.37,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-07-31,249830.28,249830.28,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-08-31,254404.29,254404.29,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-09-30,250975.49,250975.49,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-10-31,259956.08,259956.08,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-11-30,255049.86,255049.86,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2025-12-31,269578.18,269578.18,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2026-01-31,261406.31,261406.31,0.00,
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2026-02-28,267054.46,267054.46,0.00,FIN-05
1020,Payroll Cash - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4425,2026-03-31,245853.13,245853.13,0.00,FIN-05
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-04-30,22772908.09,22772908.09,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-05-31,22788694.52,22788694.52,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-06-30,23348876.45,23348876.45,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-07-31,23269834.17,23269834.17,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-08-31,23829936.49,23829936.49,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-09-30,23617766.15,23617766.15,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-10-31,24065517.60,24065517.60,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-11-30,24460384.49,24460384.49,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2024-12-31,24572802.51,24572802.51,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-01-31,24489885.62,24489885.62,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-02-28,24625746.71,24625746.71,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-03-31,24997315.42,24997315.42,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-04-30,25237010.04,25237010.04,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-05-31,25378751.26,25378751.26,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-06-30,25559322.00,25559322.00,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-07-31,25902985.63,25902985.63,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-08-31,26526133.60,26526133.60,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-09-30,26521346.06,26521346.06,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-10-31,26899134.67,26899134.67,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-11-30,27165059.00,27165059.00,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2025-12-31,27287840.21,27287840.21,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2026-01-31,27725028.29,27725028.29,0.00,
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2026-02-28,27801599.01,27801599.01,0.00,FIN-05
1030,Money Market Sweep - Anchor Point Bank,co-104,Anchor Point Bank,XXXX-4433,2026-03-31,27644250.69,27644250.69,0.00,FIN-05
