txn_id,posted_date,value_date,description,counterparty,reference,type,amount,running_balance,channel
BNK-202603-0001,2026-03-02,2026-03-03,ACH CREDIT SILVERDALE ANALYTICS INV-2026-0411,Silverdale Analytics,INV-2026-0411,credit,26673.34,3509588.56,ach
BNK-202603-0002,2026-03-02,2026-03-03,ACH CREDIT FOXGLOVE PARTNERS INV-2026-0446,Foxglove Partners,INV-2026-0446,credit,11189.26,3520777.82,ach
BNK-202603-0003,2026-03-02,2026-03-02,TRANSFER FROM MONEY MARKET XXXX-4433,Atticus Dundee Inc.,MMKT-2026-03-02,credit,250000.00,3770777.82,transfer
BNK-202603-0004,2026-03-02,2026-03-02,ACH DEBIT THACKENRIDGE COURIER AP-2026-0353,Thackenridge Courier,AP-2026-0353,debit,2411.64,3768366.18,ach
BNK-202603-0005,2026-03-02,2026-03-02,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0370,DataPulse Analytics,AP-2026-0370,debit,4904.90,3763461.28,ach
BNK-202603-0006,2026-03-02,2026-03-02,WIRE OUT BIRCHCROFT PROPERTIES RENT-2026-03,Birchcroft Properties,RENT-2026-03,debit,185000.00,3578461.28,wire
BNK-202603-0007,2026-03-02,2026-03-02,WIRE OUT TALENTFORCE HR PLATFORM AP-2026-0385,TalentForce HR Platform,AP-2026-0385,debit,34736.72,3543724.56,wire
BNK-202603-0008,2026-03-03,2026-03-04,ACH CREDIT CINDERBROOK LLC INV-2026-0455,Cinderbrook LLC,INV-2026-0455,credit,24426.53,3568151.09,ach
BNK-202603-0009,2026-03-03,2026-03-04,ACH CREDIT NORTHFIELD GROUP INV-2026-0459,Northfield Group,INV-2026-0459,credit,7316.77,3575467.86,ach
BNK-202603-0010,2026-03-03,2026-03-04,ACH CREDIT CINDERBROOK LLC INV-2026-0466,Cinderbrook LLC,INV-2026-0466,credit,13646.09,3589113.95,ach
BNK-202603-0011,2026-03-03,2026-03-03,WIRE IN HAZELMERE ANALYTICS INV-2026-0484,Hazelmere Analytics,INV-2026-0484,credit,199693.98,3788807.93,wire
BNK-202603-0012,2026-03-03,2026-03-03,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260303,Anchor Point Bank,SETTLE-20260303,credit,7823.48,3796631.41,card
BNK-202603-0013,2026-03-03,2026-03-03,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0334,DataPulse Analytics,AP-2026-0334,debit,26444.16,3770187.25,ach
BNK-202603-0014,2026-03-03,2026-03-03,ACH DEBIT MILLGATE INSURANCE SERVICES AP-2026-0344,Millgate Insurance Services,AP-2026-0344,debit,8173.58,3762013.67,ach
BNK-202603-0015,2026-03-03,2026-03-03,ACH DEBIT WRENFALLOW SECURITY SYSTEMS AP-2026-0364,Wrenfallow Security Systems,AP-2026-0364,debit,21996.96,3740016.71,ach
BNK-202603-0016,2026-03-04,2026-03-05,ACH CREDIT HOLLOWAY VALE PARTNERS INV-2026-0449,Holloway Vale Partners,INV-2026-0449,credit,47723.91,3787740.62,ach
BNK-202603-0017,2026-03-04,2026-03-04,ACH DEBIT SARROWMERE PRINT WORKS AP-2026-0378,Sarrowmere Print Works,AP-2026-0378,debit,6893.13,3780847.49,ach
BNK-202603-0018,2026-03-04,2026-03-04,CHECK 10422,Halvermoor Cloud Services,10422,debit,2520.15,3778327.34,check
BNK-202603-0019,2026-03-05,2026-03-06,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0401,Amberfield Logistics,INV-2026-0401,credit,36478.01,3814805.35,ach
BNK-202603-0020,2026-03-05,2026-03-06,ACH CREDIT SAGEBROOK LLC INV-2026-0404,Sagebrook LLC,INV-2026-0404,credit,5516.58,3820321.93,ach
BNK-202603-0021,2026-03-05,2026-03-06,ACH CREDIT KETTLEBROOK PARTNERS INV-2026-0416,Kettlebrook Partners,INV-2026-0416,credit,8664.47,3828986.40,ach
BNK-202603-0022,2026-03-05,2026-03-06,ACH CREDIT CINDERBROOK LLC INV-2026-0432,Cinderbrook LLC,INV-2026-0432,credit,20025.58,3849011.98,ach
BNK-202603-0023,2026-03-05,2026-03-06,ACH CREDIT COPPERFEN PARTNERS INV-2026-0458,Copperfen Partners,INV-2026-0458,credit,32443.96,3881455.94,ach
BNK-202603-0024,2026-03-05,2026-03-05,WIRE IN GLADEWICK LLC INV-2026-0471,Gladewick LLC,INV-2026-0471,credit,109323.98,3990779.92,wire
BNK-202603-0025,2026-03-05,2026-03-05,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260305,Anchor Point Bank,SETTLE-20260305,credit,6739.75,3997519.67,card
BNK-202603-0026,2026-03-05,2026-03-05,ACH DEBIT BRAXMOOR RECRUITING GROUP AP-2026-0342,Braxmoor Recruiting Group,AP-2026-0342,debit,4143.03,3993376.64,ach
BNK-202603-0027,2026-03-05,2026-03-05,ACH DEBIT TALENTFORCE HR PLATFORM AP-2026-0380,TalentForce HR Platform,AP-2026-0380,debit,24295.91,3969080.73,ach
BNK-202603-0028,2026-03-05,2026-03-05,ACH DEBIT TALENTFORCE HR PLATFORM BEN-2026-03,TalentForce HR Platform,BEN-2026-03,debit,217927.27,3751153.46,ach
BNK-202603-0029,2026-03-05,2026-03-05,CHECK 10425,Birchcroft Properties,10425,debit,4731.44,3746422.02,check
BNK-202603-0030,2026-03-06,2026-03-09,ACH CREDIT CINDERBROOK LLC INV-2026-0402,Cinderbrook LLC,INV-2026-0402,credit,14544.91,3760966.93,ach
BNK-202603-0031,2026-03-06,2026-03-09,ACH CREDIT THORNWICK PARTNERS INV-2026-0464,Thornwick Partners,INV-2026-0464,credit,18840.87,3779807.80,ach
BNK-202603-0032,2026-03-06,2026-03-06,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260306,Anchor Point Bank,SETTLE-20260306,credit,2152.12,3781959.92,card
BNK-202603-0033,2026-03-06,2026-03-06,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0361,DataPulse Analytics,AP-2026-0361,debit,13425.01,3768534.91,ach
BNK-202603-0034,2026-03-06,2026-03-06,CORPORATE CARD SETTLEMENT CARD-20260306,Anchor Point Bank,CARD-20260306,debit,16809.31,3751725.60,card
BNK-202603-0035,2026-03-06,2026-03-06,CHECK 10421,Cedarline Office Supply,10421,debit,5083.15,3746642.45,check
BNK-202603-0036,2026-03-06,2026-03-09,ACH CREDIT CINDERBROOK LLC INV-2026-0432,Cinderbrook LLC,INV-2026-0432,credit,20025.58,3766668.03,ach
BNK-202603-0037,2026-03-09,2026-03-10,ACH CREDIT NORTHFIELD GROUP INV-2026-0425,Northfield Group,INV-2026-0425,credit,6101.38,3772769.41,ach
BNK-202603-0038,2026-03-09,2026-03-10,ACH CREDIT HAZELMERE ANALYTICS INV-2026-0445,Hazelmere Analytics,INV-2026-0445,credit,16477.89,3789247.30,ach
BNK-202603-0039,2026-03-09,2026-03-09,WIRE IN HOLLOWAY VALE PARTNERS INV-2026-0476,Holloway Vale Partners,INV-2026-0476,credit,191770.73,3981018.03,wire
BNK-202603-0040,2026-03-09,2026-03-09,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260309,Anchor Point Bank,SETTLE-20260309,credit,5538.56,3986556.59,card
BNK-202603-0041,2026-03-09,2026-03-09,CHECK 10424,TalentForce HR Platform,10424,debit,12043.43,3974513.16,check
BNK-202603-0042,2026-03-09,2026-03-09,CHECK 10428,Wrenfallow Security Systems,10428,debit,8560.97,3965952.19,check
BNK-202603-0043,2026-03-09,2026-03-09,CHECK 10429,Fenwhistle Travel Desk,10429,debit,12224.06,3953728.13,check
BNK-202603-0044,2026-03-10,2026-03-11,ACH CREDIT FOXGLOVE PARTNERS INV-2026-0408,Foxglove Partners,INV-2026-0408,credit,32200.40,3985928.53,ach
BNK-202603-0045,2026-03-10,2026-03-11,ACH CREDIT SILVERDALE ANALYTICS INV-2026-0433,Silverdale Analytics,INV-2026-0433,credit,1578.29,3987506.82,ach
BNK-202603-0046,2026-03-10,2026-03-10,ACH DEBIT SARROWMERE PRINT WORKS AP-2026-0336,Sarrowmere Print Works,AP-2026-0336,debit,10499.12,3977007.70,ach
BNK-202603-0047,2026-03-10,2026-03-10,ACH DEBIT HALVERMOOR CLOUD SERVICES AP-2026-0375,Halvermoor Cloud Services,AP-2026-0375,debit,3096.54,3973911.16,ach
BNK-202603-0048,2026-03-10,2026-03-10,ACH DEBIT HALVERMOOR CLOUD SERVICES AP-2026-0377,Halvermoor Cloud Services,AP-2026-0377,debit,12814.57,3961096.59,ach
BNK-202603-0049,2026-03-10,2026-03-10,CHECK 10423,Wrenfallow Security Systems,10423,debit,5444.26,3955652.33,check
BNK-202603-0050,2026-03-10,2026-03-10,CHECK 10426,TalentForce HR Platform,10426,debit,2884.08,3952768.25,check
BNK-202603-0051,2026-03-11,2026-03-12,ACH CREDIT WINDROW HOLDINGS INV-2026-0417,Windrow Holdings,INV-2026-0417,credit,13060.47,3965828.72,ach
BNK-202603-0052,2026-03-11,2026-03-12,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0419,Amberfield Logistics,INV-2026-0419,credit,39057.83,4004886.55,ach
BNK-202603-0053,2026-03-11,2026-03-12,ACH CREDIT SILVERDALE ANALYTICS INV-2026-0439,Silverdale Analytics,INV-2026-0439,credit,12567.95,4017454.50,ach
