report_id,line_no,employee_id,employee_department,approver_employee_id,report_submitted_date,expense_date,expense_type,merchant,merchant_category,city_tier,claim_type,attendee_count,external_attendees,business_purpose,gl_account,amount,currency,payment_method,receipt_reference,missing_receipt_declaration,report_total,status
EXP-2026-0101,1,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-03,airfare,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Customer onsite and quarterly business review,6400,624.00,USD,corporate_card,RCPT-2026-0101,false,1610.15,in_review
EXP-2026-0101,2,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-03,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Customer onsite and quarterly business review,6400,368.00,USD,corporate_card,RCPT-2026-0102,false,1610.15,in_review
EXP-2026-0101,3,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-04,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Customer onsite and quarterly business review,6400,359.00,USD,corporate_card,RCPT-2026-0103,false,1610.15,in_review
EXP-2026-0101,4,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-03,meal,Fallowmere Catering,catering,tier_1,actual,1,0,Customer onsite and quarterly business review,6400,74.50,USD,corporate_card,RCPT-2026-0104,false,1610.15,in_review
EXP-2026-0101,5,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-04,meal,Fallowmere Catering,catering,tier_1,actual,1,0,Customer onsite and quarterly business review,6400,88.25,USD,corporate_card,RCPT-2026-0105,false,1610.15,in_review
EXP-2026-0101,6,EMP-0264,Sales,EMP-0250,2026-03-09,2026-03-04,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Customer onsite and quarterly business review,6400,96.40,USD,corporate_card,RCPT-2026-0106,false,1610.15,in_review
EXP-2026-0102,1,EMP-0357,Marketing,EMP-0356,2026-03-13,2026-03-09,airfare,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Regional user group and partner briefing,6400,412.00,USD,corporate_card,RCPT-2026-0107,false,888.25,in_review
EXP-2026-0102,2,EMP-0357,Marketing,EMP-0356,2026-03-13,2026-03-09,lodging,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Regional user group and partner briefing,6400,264.00,USD,corporate_card,RCPT-2026-0108,false,888.25,in_review
EXP-2026-0102,3,EMP-0357,Marketing,EMP-0356,2026-03-13,2026-03-09,meal,,per_diem,tier_2,per_diem,1,0,Regional user group and partner briefing,6400,56.25,USD,out_of_pocket,,false,888.25,in_review
EXP-2026-0102,4,EMP-0357,Marketing,EMP-0356,2026-03-13,2026-03-10,meal,,per_diem,tier_2,per_diem,1,0,Regional user group and partner briefing,6400,68.00,USD,out_of_pocket,,false,888.25,in_review
EXP-2026-0102,5,EMP-0357,Marketing,EMP-0356,2026-03-13,2026-03-10,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Regional user group and partner briefing,6400,88.00,USD,corporate_card,RCPT-2026-0109,false,888.25,in_review
EXP-2026-0103,1,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-10,airfare,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Platform engineering conference,6400,388.50,USD,corporate_card,RCPT-2026-0110,false,1302.65,in_review
EXP-2026-0103,2,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-10,lodging,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Platform engineering conference,6400,189.00,USD,corporate_card,RCPT-2026-0111,false,1302.65,in_review
EXP-2026-0103,3,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-11,lodging,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Platform engineering conference,6400,189.00,USD,corporate_card,RCPT-2026-0112,false,1302.65,in_review
EXP-2026-0103,4,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-10,meal,Fallowmere Catering,catering,tier_3,actual,1,0,Platform engineering conference,6400,52.75,USD,corporate_card,RCPT-2026-0113,false,1302.65,in_review
EXP-2026-0103,5,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-11,meal,Fallowmere Catering,catering,tier_3,actual,1,0,Platform engineering conference,6400,58.40,USD,corporate_card,RCPT-2026-0114,false,1302.65,in_review
EXP-2026-0103,6,EMP-0042,Engineering,EMP-0024,2026-03-16,2026-03-11,event,Fallowmere Catering,catering,tier_3,actual,6,0,Platform engineering conference,6310,425.00,USD,corporate_card,RCPT-2026-0115,false,1302.65,in_review
EXP-2026-0104,1,EMP-0550,IT & Security,EMP-0547,2026-03-09,2026-03-04,software,Copperline Software,software,tier_2,actual,0,0,Security tooling and analytics subscriptions for the quarter,6200,249.00,USD,out_of_pocket,RCPT-2026-0116,false,1882.30,in_review
EXP-2026-0104,2,EMP-0550,IT & Security,EMP-0547,2026-03-09,2026-03-05,software,Halvermoor Cloud Services,cloud_services,tier_2,actual,0,0,Security tooling and analytics subscriptions for the quarter,5000,780.00,USD,out_of_pocket,RCPT-2026-0117,false,1882.30,in_review
EXP-2026-0104,3,EMP-0550,IT & Security,EMP-0547,2026-03-09,2026-03-05,software,DataPulse Analytics,analytics,tier_2,actual,0,0,Security tooling and analytics subscriptions for the quarter,6200,316.00,USD,out_of_pocket,RCPT-2026-0118,false,1882.30,in_review
EXP-2026-0104,4,EMP-0550,IT & Security,EMP-0547,2026-03-09,2026-03-06,office_supply,Cedarline Office Supply,office_supplies,tier_2,actual,0,0,Security tooling and analytics subscriptions for the quarter,6120,142.30,USD,out_of_pocket,RCPT-2026-0119,false,1882.30,in_review
EXP-2026-0104,5,EMP-0550,IT & Security,EMP-0547,2026-03-09,2026-03-06,other,Wrenfallow Security Systems,security,tier_2,actual,0,0,Security tooling and analytics subscriptions for the quarter,6100,395.00,USD,out_of_pocket,RCPT-2026-0120,false,1882.30,in_review
EXP-2026-0105,1,EMP-0265,Sales,EMP-0263,2026-03-16,2026-03-11,airfare,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,New logo pitch and contract walkthrough,6400,588.00,USD,corporate_card,RCPT-2026-0121,false,1226.85,in_review
EXP-2026-0105,2,EMP-0265,Sales,EMP-0263,2026-03-16,2026-03-11,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,New logo pitch and contract walkthrough,6400,372.00,USD,corporate_card,RCPT-2026-0122,false,1226.85,in_review
EXP-2026-0105,3,EMP-0265,Sales,EMP-0263,2026-03-16,2026-03-11,meal,Fallowmere Catering,catering,tier_1,actual,1,0,New logo pitch and contract walkthrough,6400,118.60,USD,corporate_card,RCPT-2026-0123,false,1226.85,in_review
EXP-2026-0105,4,EMP-0265,Sales,EMP-0263,2026-03-16,2026-03-12,meal,Fallowmere Catering,catering,tier_1,actual,1,0,New logo pitch and contract walkthrough,6400,84.00,USD,corporate_card,RCPT-2026-0124,false,1226.85,in_review
EXP-2026-0105,5,EMP-0265,Sales,EMP-0263,2026-03-16,2026-03-12,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,New logo pitch and contract walkthrough,6400,64.25,USD,corporate_card,RCPT-2026-0125,false,1226.85,in_review
EXP-2026-0106,1,EMP-0266,Sales,EMP-0249,2026-03-23,2026-03-17,meal,Fallowmere Catering,catering,tier_2,actual,5,3,Renewal dinner with the customer account team and their operations lead,6400,342.80,USD,out_of_pocket,RCPT-2026-0126,false,579.60,in_review
EXP-2026-0106,2,EMP-0266,Sales,EMP-0249,2026-03-23,2026-03-17,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Renewal planning with an enterprise account,6400,47.60,USD,out_of_pocket,RCPT-2026-0127,false,579.60,in_review
EXP-2026-0106,3,EMP-0266,Sales,EMP-0249,2026-03-23,2026-03-18,office_supply,Sarrowmere Print Works,printing,tier_2,actual,0,0,Renewal planning with an enterprise account,6120,128.00,USD,out_of_pocket,RCPT-2026-0128,false,579.60,in_review
EXP-2026-0106,4,EMP-0266,Sales,EMP-0249,2026-03-23,2026-03-18,meal,Fallowmere Catering,catering,tier_2,actual,1,0,Renewal planning with an enterprise account,6400,61.20,USD,out_of_pocket,RCPT-2026-0129,false,579.60,in_review
EXP-2026-0107,1,EMP-0578,Operations,EMP-0576,2026-03-09,2026-03-05,lodging,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Site visit to the regional distribution partner,6400,178.00,USD,corporate_card,RCPT-2026-0130,false,469.35,in_review
EXP-2026-0107,2,EMP-0578,Operations,EMP-0576,2026-03-09,2026-03-05,meal,Fallowmere Catering,catering,tier_3,actual,1,0,Site visit to the regional distribution partner,6400,44.80,USD,corporate_card,RCPT-2026-0131,false,469.35,in_review
EXP-2026-0107,3,EMP-0578,Operations,EMP-0576,2026-03-09,2026-03-06,other,Harrowfen Facilities Group,facilities_services,tier_3,actual,0,0,Site visit to the regional distribution partner,6100,128.40,USD,corporate_card,,false,469.35,in_review
EXP-2026-0107,4,EMP-0578,Operations,EMP-0576,2026-03-09,2026-03-06,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Site visit to the regional distribution partner,6400,52.00,USD,corporate_card,RCPT-2026-0132,false,469.35,in_review
EXP-2026-0107,5,EMP-0578,Operations,EMP-0576,2026-03-09,2026-03-06,office_supply,Cedarline Office Supply,office_supplies,tier_3,actual,0,0,Site visit to the regional distribution partner,6120,66.15,USD,corporate_card,RCPT-2026-0133,false,469.35,in_review
EXP-2026-0108,1,EMP-0396,Customer Success,EMP-0391,2026-03-16,2026-03-12,airfare,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Onboarding workshop with a new enterprise account,6400,336.00,USD,corporate_card,RCPT-2026-0134,false,823.30,in_review
EXP-2026-0108,2,EMP-0396,Customer Success,EMP-0391,2026-03-16,2026-03-12,lodging,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Onboarding workshop with a new enterprise account,6400,251.00,USD,corporate_card,RCPT-2026-0135,false,823.30,in_review
EXP-2026-0108,3,EMP-0396,Customer Success,EMP-0391,2026-03-16,2026-03-13,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_2,actual,0,0,Onboarding workshop with a new enterprise account,6400,96.00,USD,corporate_card,,true,823.30,in_review
EXP-2026-0108,4,EMP-0396,Customer Success,EMP-0391,2026-03-16,2026-03-12,meal,Fallowmere Catering,catering,tier_2,actual,1,0,Onboarding workshop with a new enterprise account,6400,68.90,USD,corporate_card,RCPT-2026-0136,false,823.30,in_review
EXP-2026-0108,5,EMP-0396,Customer Success,EMP-0391,2026-03-16,2026-03-13,meal,Fallowmere Catering,catering,tier_2,actual,1,0,Onboarding workshop with a new enterprise account,6400,71.40,USD,corporate_card,RCPT-2026-0137,false,823.30,in_review
EXP-2026-0109,1,EMP-0203,Product,EMP-0196,2026-03-23,2026-03-18,airfare,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Product discovery interviews with users,6400,512.00,USD,corporate_card,RCPT-2026-0138,false,1068.10,in_review
EXP-2026-0109,2,EMP-0203,Product,EMP-0196,2026-03-23,2026-03-19,parking,,parking_fine,tier_1,actual,0,0,Product discovery interviews with users,6400,65.00,USD,corporate_card,RCPT-2026-0139,false,1068.10,in_review
EXP-2026-0109,3,EMP-0203,Product,EMP-0196,2026-03-23,2026-03-19,ground_transport,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Product discovery interviews with users,6400,58.00,USD,corporate_card,RCPT-2026-0140,false,1068.10,in_review
EXP-2026-0109,4,EMP-0203,Product,EMP-0196,2026-03-23,2026-03-19,meal,Fallowmere Catering,catering,tier_1,actual,1,0,Product discovery interviews with users,6400,92.10,USD,corporate_card,RCPT-2026-0141,false,1068.10,in_review
EXP-2026-0109,5,EMP-0203,Product,EMP-0196,2026-03-23,2026-03-19,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,Product discovery interviews with users,6400,341.00,USD,corporate_card,RCPT-2026-0142,false,1068.10,in_review
EXP-2026-0110,1,EMP-0506,People,EMP-0503,2026-03-24,2026-03-20,ground_transport,,toll,tier_3,actual,0,0,Campus recruiting visit and candidate hosting,6400,14.75,USD,corporate_card,RCPT-2026-0143,false,626.15,in_review
EXP-2026-0110,2,EMP-0506,People,EMP-0503,2026-03-24,2026-03-20,meal,Fallowmere Catering,catering,tier_3,actual,1,0,Campus recruiting visit and candidate hosting,6400,57.50,USD,corporate_card,RCPT-2026-0144,false,626.15,in_review
EXP-2026-0110,3,EMP-0506,People,EMP-0503,2026-03-24,2026-03-21,other,Kestrelmoor Staffing Partners,staffing,tier_3,actual,0,0,,6040,268.00,USD,corporate_card,RCPT-2026-0145,false,626.15,in_review
EXP-2026-0110,4,EMP-0506,People,EMP-0503,2026-03-24,2026-03-20,software,TalentForce HR Platform,hr_platform,tier_3,actual,0,0,Campus recruiting visit and candidate hosting,6200,89.90,USD,corporate_card,RCPT-2026-0146,false,626.15,in_review
EXP-2026-0110,5,EMP-0506,People,EMP-0503,2026-03-24,2026-03-20,lodging,Fenwhistle Travel Desk,travel_agency,tier_3,actual,0,0,Campus recruiting visit and candidate hosting,6400,196.00,USD,corporate_card,RCPT-2026-0147,false,626.15,in_review
EXP-2026-0111,1,EMP-0463,Finance,EMP-0462,2026-03-30,2026-03-23,airfare,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,International subsidiary review and audit planning,6400,3860.00,USD,corporate_card,RCPT-2026-0148,false,5282.40,submitted
EXP-2026-0111,2,EMP-0463,Finance,EMP-0462,2026-03-30,2026-03-23,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,International subsidiary review and audit planning,6400,374.00,USD,corporate_card,RCPT-2026-0149,false,5282.40,submitted
EXP-2026-0111,3,EMP-0463,Finance,EMP-0462,2026-03-30,2026-03-24,lodging,Fenwhistle Travel Desk,travel_agency,tier_1,actual,0,0,International subsidiary review and audit planning,6400,374.00,USD,corporate_card,RCPT-2026-0150,false,5282.40,submitted
