je_id,posting_date,gl_account,description,counterparty,reference,debit,credit,source,prepared_by
JE-202603-0001,2026-03-02,1010,Customer receipt - Silverdale Analytics - INV-2026-0411,Silverdale Analytics,INV-2026-0411,26673.34,,ar,EMP-0486
JE-202603-0002,2026-03-02,1010,Customer receipt - Foxglove Partners - INV-2026-0446,Foxglove Partners,INV-2026-0446,11189.26,,ar,EMP-0486
JE-202603-0003,2026-03-02,1010,Transfer from money market sweep,Atticus Dundee Inc.,MMKT-2026-03-02,250000.00,,manual,EMP-0486
JE-202603-0004,2026-03-02,1010,Vendor payment - Thackenridge Courier - AP-2026-0353,Thackenridge Courier,AP-2026-0353,,2411.64,ap,EMP-0486
JE-202603-0005,2026-03-02,1010,Vendor payment - DataPulse Analytics - AP-2026-0370,DataPulse Analytics,AP-2026-0370,,4904.90,ap,EMP-0486
JE-202603-0006,2026-03-02,1010,Vendor payment - Birchcroft Properties - RENT-2026-03,Birchcroft Properties,RENT-2026-03,,185000.00,ap,EMP-0486
JE-202603-0007,2026-03-02,1010,Vendor payment - TalentForce HR Platform - AP-2026-0385,TalentForce HR Platform,AP-2026-0385,,34736.72,ap,EMP-0486
JE-202603-0008,2026-03-02,1010,Check 10421 - Cedarline Office Supply,Cedarline Office Supply,10421,,5083.15,ap,EMP-0486
JE-202603-0009,2026-03-02,1010,Check 10422 - Halvermoor Cloud Services,Halvermoor Cloud Services,10422,,2520.15,ap,EMP-0486
JE-202603-0010,2026-03-03,1010,Customer receipt - Cinderbrook LLC - INV-2026-0455,Cinderbrook LLC,INV-2026-0455,24426.53,,ar,EMP-0486
JE-202603-0011,2026-03-03,1010,Customer receipt - Northfield Group - INV-2026-0459,Northfield Group,INV-2026-0459,7316.77,,ar,EMP-0486
JE-202603-0012,2026-03-03,1010,Customer receipt - Cinderbrook LLC - INV-2026-0466,Cinderbrook LLC,INV-2026-0466,13646.09,,ar,EMP-0486
JE-202603-0013,2026-03-03,1010,Customer receipt - Hazelmere Analytics - INV-2026-0484,Hazelmere Analytics,INV-2026-0484,199693.98,,ar,EMP-0486
JE-202603-0014,2026-03-03,1010,Card settlement - small-team tier - 2026-03-03,Anchor Point Bank,SETTLE-20260303,7823.48,,ar,EMP-0486
JE-202603-0015,2026-03-03,1010,Vendor payment - DataPulse Analytics - AP-2026-0334,DataPulse Analytics,AP-2026-0334,,26444.16,ap,EMP-0486
JE-202603-0016,2026-03-03,1010,Vendor payment - Millgate Insurance Services - AP-2026-0344,Millgate Insurance Services,AP-2026-0344,,8137.58,ap,EMP-0486
JE-202603-0017,2026-03-03,1010,Vendor payment - Wrenfallow Security Systems - AP-2026-0364,Wrenfallow Security Systems,AP-2026-0364,,21996.96,ap,EMP-0486
JE-202603-0018,2026-03-03,1010,Vendor payment - TalentForce HR Platform - AP-2026-0380,TalentForce HR Platform,AP-2026-0380,,24295.91,ap,EMP-0486
JE-202603-0019,2026-03-03,1010,Check 10423 - Wrenfallow Security Systems,Wrenfallow Security Systems,10423,,5444.26,ap,EMP-0486
JE-202603-0020,2026-03-03,1010,Check 10424 - TalentForce HR Platform,TalentForce HR Platform,10424,,12043.43,ap,EMP-0486
JE-202603-0021,2026-03-03,1010,Check 10425 - Birchcroft Properties,Birchcroft Properties,10425,,4731.44,ap,EMP-0486
JE-202603-0022,2026-03-04,1010,Customer receipt - Holloway Vale Partners - INV-2026-0449,Holloway Vale Partners,INV-2026-0449,47723.91,,ar,EMP-0486
JE-202603-0023,2026-03-04,1010,Vendor payment - DataPulse Analytics - AP-2026-0361,DataPulse Analytics,AP-2026-0361,,13425.01,ap,EMP-0486
JE-202603-0024,2026-03-04,1010,Vendor payment - Sarrowmere Print Works - AP-2026-0378,Sarrowmere Print Works,AP-2026-0378,,6893.13,ap,EMP-0486
JE-202603-0025,2026-03-04,1010,Check 10426 - TalentForce HR Platform,TalentForce HR Platform,10426,,2884.08,ap,EMP-0486
JE-202603-0026,2026-03-04,1010,Check 10427 - Fallowmere Catering,Fallowmere Catering,10427,,3593.29,ap,EMP-0486
JE-202603-0027,2026-03-05,1010,Customer receipt - Amberfield Logistics - INV-2026-0401,Amberfield Logistics,INV-2026-0401,36478.01,,ar,EMP-0486
JE-202603-0028,2026-03-05,1010,Customer receipt - Sagebrook LLC - INV-2026-0404,Sagebrook LLC,INV-2026-0404,5516.58,,ar,EMP-0486
JE-202603-0029,2026-03-05,1010,Customer receipt - Kettlebrook Partners - INV-2026-0416,Kettlebrook Partners,INV-2026-0416,8664.47,,ar,EMP-0486
JE-202603-0030,2026-03-05,1010,Customer receipt - Cinderbrook LLC - INV-2026-0432,Cinderbrook LLC,INV-2026-0432,20025.58,,ar,EMP-0486
JE-202603-0031,2026-03-05,1010,Customer receipt - Copperfen Partners - INV-2026-0458,Copperfen Partners,INV-2026-0458,32443.96,,ar,EMP-0486
JE-202603-0032,2026-03-05,1010,Customer receipt - Gladewick LLC - INV-2026-0471,Gladewick LLC,INV-2026-0471,109323.98,,ar,EMP-0486
JE-202603-0033,2026-03-05,1010,Card settlement - small-team tier - 2026-03-05,Anchor Point Bank,SETTLE-20260305,6739.75,,ar,EMP-0486
JE-202603-0034,2026-03-05,1010,Vendor payment - Braxmoor Recruiting Group - AP-2026-0342,Braxmoor Recruiting Group,AP-2026-0342,,4143.03,ap,EMP-0486
JE-202603-0035,2026-03-05,1010,Benefits remittance - TalentForce HR Platform - March 2026,TalentForce HR Platform,BEN-2026-03,,217927.27,payroll,EMP-0486
JE-202603-0036,2026-03-05,1010,Check 10428 - Wrenfallow Security Systems,Wrenfallow Security Systems,10428,,8560.97,ap,EMP-0486
JE-202603-0037,2026-03-06,1010,Customer receipt - Cinderbrook LLC - INV-2026-0402,Cinderbrook LLC,INV-2026-0402,14544.91,,ar,EMP-0486
JE-202603-0038,2026-03-06,1010,Customer receipt - Thornwick Partners - INV-2026-0464,Thornwick Partners,INV-2026-0464,18840.87,,ar,EMP-0486
JE-202603-0039,2026-03-06,1010,Card settlement - small-team tier - 2026-03-06,Anchor Point Bank,SETTLE-20260306,2152.12,,ar,EMP-0486
JE-202603-0040,2026-03-06,1010,Corporate card settlement - 2026-03-06,Anchor Point Bank,CARD-20260306,,16809.31,ap,EMP-0486
JE-202603-0041,2026-03-06,1010,Check 10429 - Fenwhistle Travel Desk,Fenwhistle Travel Desk,10429,,12224.06,ap,EMP-0486
JE-202603-0042,2026-03-06,1010,Check 10430 - DataPulse Analytics,DataPulse Analytics,10430,,11520.72,ap,EMP-0486
JE-202603-0043,2026-03-09,1010,Customer receipt - Northfield Group - INV-2026-0425,Northfield Group,INV-2026-0425,6101.38,,ar,EMP-0486
JE-202603-0044,2026-03-09,1010,Customer receipt - Hazelmere Analytics - INV-2026-0445,Hazelmere Analytics,INV-2026-0445,16477.89,,ar,EMP-0486
JE-202603-0045,2026-03-09,1010,Customer receipt - Holloway Vale Partners - INV-2026-0476,Holloway Vale Partners,INV-2026-0476,191770.73,,ar,EMP-0486
JE-202603-0046,2026-03-09,1010,Card settlement - small-team tier - 2026-03-09,Anchor Point Bank,SETTLE-20260309,5538.56,,ar,EMP-0486
JE-202603-0047,2026-03-09,1010,Vendor payment - Halvermoor Cloud Services - AP-2026-0375,Halvermoor Cloud Services,AP-2026-0375,,3096.54,ap,EMP-0486
JE-202603-0048,2026-03-09,1010,Check 10431 - Harrowfen Facilities Group,Harrowfen Facilities Group,10431,,305.51,ap,EMP-0486
JE-202603-0049,2026-03-09,1010,Check 10432 - Loamfield Power Cooperative,Loamfield Power Cooperative,10432,,624.77,ap,EMP-0486
