account_code,account_name,type,subtype,normal_balance,beginning_balance,period_debit,period_credit,ending_balance,ending_debit,ending_credit
1010,Operating Cash - Anchor Point Bank,asset,cash,debit,3133591.09,65767.19,458999.19,2740359.09,2740359.09,
1020,Payroll Cash - Anchor Point Bank,asset,cash,debit,405475.03,11239.25,28572.59,388141.69,388141.69,
1030,Money Market Sweep - Anchor Point Bank,asset,cash,debit,61942669.96,11714542.97,7480717.53,66176495.40,66176495.40,
1050,Petty Cash,asset,cash,debit,3878.36,351.46,38.29,4191.53,4191.53,
1100,Accounts Receivable - Trade,asset,receivable,debit,2509085.45,999988.05,118975.22,3390098.28,3390098.28,
1110,Allowance for Doubtful Accounts,asset,contra_asset,credit,301736.56,2954.99,8684.63,307466.20,,307466.20
1120,Unbilled Receivables,asset,receivable,debit,953400.56,41582.02,45133.14,949849.44,949849.44,
1200,Prepaid Software Subscriptions,asset,prepaid,debit,268463.86,110789.04,4252.90,375000.00,375000.00,
1210,Prepaid Insurance,asset,prepaid,debit,246795.09,92323.75,27118.84,312000.00,312000.00,
1220,Prepaid Rent,asset,prepaid,debit,218145.34,31902.75,63069.21,186978.88,186978.88,
1230,Other Prepaid Expenses,asset,prepaid,debit,132621.90,80466.86,31163.09,181925.67,181925.67,
1310,Security Deposits,asset,other_current_asset,debit,367992.15,11972.25,2789.96,377174.44,377174.44,
1400,Computer Equipment,asset,fixed_asset,debit,5090099.03,99717.35,53817.16,5135999.22,5135999.22,
1410,Furniture and Fixtures,asset,fixed_asset,debit,2254896.17,11292.08,34747.35,2231440.90,2231440.90,
1420,Leasehold Improvements,asset,fixed_asset,debit,3556864.74,21366.37,79707.92,3498523.19,3498523.19,
1490,Accumulated Depreciation,asset,contra_asset,credit,4306516.51,95651.71,250223.65,4461088.45,,4461088.45
1500,Capitalized Software Development,asset,intangible,debit,10304723.42,21162.76,294867.22,10031018.96,10031018.96,
1590,Accumulated Amortization,asset,contra_asset,credit,5793176.88,174997.41,29234.90,5647414.37,,5647414.37
1600,Operating Lease Right-of-Use Asset,asset,lease,debit,13785771.64,122426.20,219543.69,13688654.15,13688654.15,
2000,Accounts Payable - Trade,liability,payable,credit,1530636.18,363982.11,194301.75,1360955.82,,1360955.82
2010,Accrued Liabilities,liability,accrued,credit,513990.30,47459.42,81430.56,547961.44,,547961.44
2020,Accrued Payroll,liability,accrued,credit,6613885.07,1359754.68,241212.68,5495343.07,,5495343.07
2030,Accrued Bonus,liability,accrued,credit,3700897.75,45050.86,798239.32,4454086.21,,4454086.21
2040,Accrued Commissions,liability,accrued,credit,2715270.88,835951.83,289207.05,2168526.10,,2168526.10
2100,Payroll Taxes Payable,liability,payroll,credit,709724.20,63520.28,366711.14,1012915.06,,1012915.06
2110,Employee Benefits Payable,liability,payroll,credit,859858.19,140749.76,192334.33,911442.76,,911442.76
2200,Sales Tax Payable,liability,tax,credit,478945.57,111596.41,53467.07,420816.23,,420816.23
2210,Income Tax Payable,liability,tax,credit,565768.14,121383.96,16551.49,460935.67,,460935.67
2300,Deferred Revenue - Current,liability,deferred_revenue,credit,46599381.84,8157676.44,2420114.99,40861820.39,,40861820.39
2310,Deferred Revenue - Non-Current,liability,deferred_revenue,credit,7518302.89,208936.10,1172397.92,8481764.71,,8481764.71
2400,Corporate Card Payable,liability,payable,credit,969144.95,338291.32,115640.64,746494.27,,746494.27
