entry_id,line_no,posting_date,approved_date,gl_account,account_name,description,counterparty,debit,credit,currency,entry_type,source_document,prepared_by,approved_by
JE-202603-C001,1,2026-03-01,2026-04-05,2010,Accrued Liabilities,Reversal of February 2026 accrual - Halvermoor Cloud Services,Halvermoor Cloud Services,252305.99,,USD,accrual_reversal,BILL-2026-0105,EMP-0486,EMP-0473
JE-202603-C001,2,2026-03-01,2026-04-05,5000,Hosting and Infrastructure,Reversal of February 2026 accrual - Halvermoor Cloud Services,Halvermoor Cloud Services,,252305.99,USD,accrual_reversal,BILL-2026-0105,EMP-0486,EMP-0473
JE-202603-C002,1,2026-03-01,2026-04-01,2010,Accrued Liabilities,Reversal of February 2026 accrual - Millgate Insurance Services,Millgate Insurance Services,36048.25,,USD,accrual_reversal,FIN-12,EMP-0486,EMP-0473
JE-202603-C002,2,2026-03-01,2026-04-01,6600,Insurance,Reversal of February 2026 accrual - Millgate Insurance Services,Millgate Insurance Services,,36048.25,USD,accrual_reversal,FIN-12,EMP-0486,EMP-0473
JE-202603-C003,1,2026-03-01,2026-04-06,2010,Accrued Liabilities,Reversal of February 2026 accrual - Kestrelmoor Staffing Partners,Kestrelmoor Staffing Partners,33319.84,,USD,accrual_reversal,BILL-2026-0145,EMP-0486,EMP-0473
JE-202603-C003,2,2026-03-01,2026-04-06,6030,Contractors and Consultants,Reversal of February 2026 accrual - Kestrelmoor Staffing Partners,Kestrelmoor Staffing Partners,,33319.84,USD,accrual_reversal,BILL-2026-0145,EMP-0486,EMP-0473
JE-202603-C004,1,2026-03-02,2026-04-04,2010,Accrued Liabilities,Reversal of February 2026 accrual - Cedarline Office Supply,Cedarline Office Supply,13276.41,,USD,accrual_reversal,BILL-2026-0121,EMP-0486,EMP-0473
JE-202603-C004,2,2026-03-02,2026-04-04,6120,Office Expense,Reversal of February 2026 accrual - Cedarline Office Supply,Cedarline Office Supply,,13276.41,USD,accrual_reversal,BILL-2026-0121,EMP-0486,EMP-0473
JE-202603-C005,1,2026-03-27,2026-04-06,6120,Office Expense,March 2026 accrual - Cedarline Office Supply - office consumables,Cedarline Office Supply,958.76,,USD,accrual,VINV-2026-0168,EMP-0486,EMP-0473
JE-202603-C005,2,2026-03-27,2026-04-06,6120,Office Expense,March 2026 accrual - Cedarline Office Supply - breakroom supplies,Cedarline Office Supply,846.91,,USD,accrual,VINV-2026-0168,EMP-0486,EMP-0473
JE-202603-C005,3,2026-03-27,2026-04-06,6120,Office Expense,March 2026 accrual - Cedarline Office Supply - print and stationery,Cedarline Office Supply,623.19,,USD,accrual,VINV-2026-0168,EMP-0486,EMP-0473
JE-202603-C005,4,2026-03-27,2026-04-06,2010,Accrued Liabilities,March 2026 accrual - Cedarline Office Supply - accrued liabilities,Cedarline Office Supply,,2428.86,USD,accrual,VINV-2026-0168,EMP-0486,EMP-0473
