check_number,issue_date,payee,amount,gl_je_id,status
10439,2026-03-16,Loamfield Power Cooperative,3808.22,JE-202603-0100,outstanding
10442,2026-03-18,Wrenfallow Security Systems,1473.61,JE-202603-0119,outstanding
10444,2026-03-19,Cedarline Office Supply,6657.08,JE-202603-0128,outstanding
10449,2026-03-23,Loamfield Power Cooperative,1085.75,JE-202603-0147,outstanding
10450,2026-03-23,Millgate Insurance Services,7257.65,JE-202603-0148,outstanding
10454,2026-03-24,Wrenfallow Security Systems,3487.83,JE-202603-0156,outstanding
10455,2026-03-25,Halvermoor Cloud Services,3325.60,JE-202603-0168,outstanding
10456,2026-03-30,Sarrowmere Print Works,1437.74,JE-202603-0195,outstanding
10457,2026-03-30,Sarrowmere Print Works,7627.47,JE-202603-0196,outstanding
10458,2026-03-30,Thackenridge Courier,6850.30,JE-202603-0197,outstanding
10459,2026-03-30,Kestrelmoor Staffing Partners,7744.38,JE-202603-0198,outstanding
10460,2026-03-31,Halvermoor Cloud Services,6456.73,JE-202603-0206,outstanding
