payment_run_id,payment_id,run_date,vendor_canon_id,vendor_name,invoice_id,invoice_number,po_number,payment_amount,currency,payment_method,remit_to_bank,remit_to_account_masked,requested_by_employee_id,approved_by_employee_id,status
PR-2026-04-02,PAY-2026-0101,2026-04-02,co-190,Wrenfallow Security Systems,VINV-2026-0114,WRF-21288,PO-2026-0102,49642.72,USD,wire,Anchor Point Bank,XXXX-9232,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0102,2026-04-02,co-184,Loamfield Power Cooperative,VINV-2026-0113,LMF-20250,PO-2026-0133,8049.84,USD,ach,Anchor Point Bank,XXXX-1626,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0103,2026-04-02,co-107,Cedarline Office Supply,VINV-2026-0115,CDL-23721,PO-2026-0143,7971.00,USD,ach,Anchor Point Bank,XXXX-3953,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0104,2026-04-02,co-106,TalentForce HR Platform,VINV-2026-0111,TFH-19038,PO-2026-0101,30393.74,USD,wire,Anchor Point Bank,XXXX-9813,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0105,2026-04-02,co-183,Kestrelmoor Staffing Partners,VINV-2026-0142,KSM-19538,PO-2026-0127,33319.84,USD,wire,Anchor Point Bank,XXXX-6969,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0106,2026-04-02,co-101,Copperline Software,VINV-2026-0102,CPL-21029,PO-2026-0132,82355.35,USD,wire,Anchor Point Bank,XXXX-2186,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0107,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0116,DPA-18903,PO-2026-0119,18273.69,USD,ach,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0108,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0126,DPA-18903,PO-2026-0119,18273.69,USD,ach,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0109,2026-04-02,co-188,Fallowmere Catering,VINV-2026-0132,FLM-19217,PO-2026-0110,3529.46,USD,ach,Anchor Point Bank,XXXX-7719,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0110,2026-04-02,co-190,Wrenfallow Security Systems,VINV-2026-0105,WRF-21289,PO-2026-0104,4606.47,USD,ach,Anchor Point Bank,XXXX-9232,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0111,2026-04-02,co-182,Harrowfen Facilities Group,VINV-2026-0112,HRF-18786,PO-2026-0139,18863.49,USD,ach,Anchor Point Bank,XXXX-5466,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0112,2026-04-02,co-101,Copperline Software,VINV-2026-0109,CPL-21028,PO-2026-0132,116668.20,USD,wire,Anchor Point Bank,XXXX-2186,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0113,2026-04-02,co-187,Fenwhistle Travel Desk,VINV-2026-0140,FNW-14198,PO-2026-0107,2533.53,USD,ach,Anchor Point Bank,XXXX-3167,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0114,2026-04-02,co-106,TalentForce HR Platform,VINV-2026-0148,TFH-19037,PO-2026-0128,17349.64,USD,ach,Anchor Point Bank,XXXX-9813,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0115,2026-04-02,co-189,Braxmoor Recruiting Group,VINV-2026-0150,BXM-12709,PO-2026-0115,6407.90,USD,ach,Anchor Point Bank,XXXX-4287,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0116,2026-04-02,co-187,Fenwhistle Travel Desk,VINV-2026-0118,FNW-14197,PO-2026-0107,8751.62,USD,ach,Anchor Point Bank,XXXX-3167,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0117,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0123,DPA-18898,PO-2026-0124,42904.85,USD,wire,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0118,2026-04-02,co-105,Millgate Insurance Services,VINV-2026-0130,MLG-13722,PO-2026-0105,20623.20,USD,ach,Anchor Point Bank,XXXX-5183,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0119,2026-04-02,co-105,Millgate Insurance Services,VINV-2026-0157,MLG-13721,PO-2026-0140,27674.64,USD,wire,Anchor Point Bank,XXXX-5183,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0120,2026-04-02,co-186,Sarrowmere Print Works,VINV-2026-0121,SRM-19593,PO-2026-0114,15512.20,USD,ach,Anchor Point Bank,XXXX-5259,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0121,2026-04-02,co-106,TalentForce HR Platform,VINV-2026-0124,TFH-19036,PO-2026-0128,12773.75,USD,ach,Anchor Point Bank,XXXX-9813,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0122,2026-04-02,co-183,Kestrelmoor Staffing Partners,VINV-2026-0143,KSM-19539,PO-2026-0131,11631.39,USD,ach,Anchor Point Bank,XXXX-6969,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0123,2026-04-02,co-182,Harrowfen Facilities Group,VINV-2026-0101,HRF-18785,PO-2026-0145,22574.80,USD,ach,Anchor Point Bank,XXXX-5466,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0124,2026-04-02,co-185,Thackenridge Courier,VINV-2026-0110,TKR-16953,PO-2026-0138,7217.50,USD,ach,Anchor Point Bank,XXXX-2211,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0125,2026-04-02,co-181,Halvermoor Cloud Services,VINV-2026-0106,HVM-13597,PO-2026-0112,118832.82,USD,wire,Anchor Point Bank,XXXX-4795,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0126,2026-04-02,co-185,Thackenridge Courier,VINV-2026-0108,TKR-16952,PO-2026-0123,1878.62,USD,check,Anchor Point Bank,XXXX-2211,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0127,2026-04-02,co-181,Halvermoor Cloud Services,VINV-2026-0136,HVM-13598,PO-2026-0112,104324.72,USD,wire,Anchor Point Bank,XXXX-4795,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0128,2026-04-02,co-184,Loamfield Power Cooperative,VINV-2026-0137,LMF-20251,PO-2026-0133,3440.20,USD,ach,Anchor Point Bank,XXXX-1626,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0129,2026-04-02,co-105,Millgate Insurance Services,VINV-2026-0139,MLG-13723,PO-2026-0105,31686.08,USD,wire,Anchor Point Bank,XXXX-5183,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0130,2026-04-02,co-101,Copperline Software,VINV-2026-0172,CPL-21032,,76983.63,USD,wire,Anchor Point Bank,XXXX-2186,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0131,2026-04-02,co-101,Copperline Software,VINV-2026-0138,CPL-21031,PO-2026-0148,46305.21,USD,wire,Anchor Point Bank,XXXX-2186,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0132,2026-04-02,co-184,Loamfield Power Cooperative,VINV-2026-0145,LMF-20252,PO-2026-0133,3908.88,USD,ach,Anchor Point Bank,XXXX-1626,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0133,2026-04-02,co-109,Birchcroft Properties,VINV-2026-0149,BCP-16139,PO-2026-0137,17692.60,USD,ach,Anchor Point Bank,XXXX-9180,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0134,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0103,DPA-18901,PO-2026-0144,17404.92,USD,ach,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0135,2026-04-02,co-186,Sarrowmere Print Works,VINV-2026-0141,SRM-19596,PO-2026-0121,17645.70,USD,ach,Anchor Point Bank,XXXX-5259,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0136,2026-04-02,co-183,Kestrelmoor Staffing Partners,VINV-2026-0107,KSM-19537,PO-2026-0116,14757.40,USD,ach,Anchor Point Bank,XXXX-6969,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0137,2026-04-02,co-109,Birchcroft Properties,VINV-2026-0162,BCP-16142,PO-2026-0135,15466.82,USD,ach,Anchor Point Bank,XXXX-9180,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0138,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0155,DPA-18900,PO-2026-0144,18357.57,USD,ach,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0139,2026-04-02,co-185,Thackenridge Courier,VINV-2026-0147,TKR-16951,PO-2026-0123,3252.06,USD,ach,Anchor Point Bank,XXXX-2211,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0140,2026-04-02,co-119,DataPulse Analytics,VINV-2026-0160,DPA-18902,PO-2026-0119,9996.39,USD,ach,Anchor Point Bank,XXXX-9155,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0141,2026-04-02,co-184,Loamfield Power Cooperative,VINV-2026-0122,LMF-20249,PO-2026-0117,4161.44,USD,ach,Anchor Point Bank,XXXX-1626,EMP-0492,EMP-0473,pending_approval
PR-2026-04-02,PAY-2026-0142,2026-04-02,co-107,Cedarline Office Supply,VINV-2026-0168,CDL-23719,PO-2026-0134,2428.86,USD,ach,Anchor Point Bank,XXXX-5167,EMP-0492,EMP-0473,pending_approval
