po_number,po_line,po_date,vendor_canon_id,vendor_name,description,gl_account,uom,quantity_ordered,unit_price,line_amount,currency,requested_by_employee_id,approved_by_employee_id,approval_level,status,expected_delivery_date
PO-2026-0101,1,2026-01-05,co-106,TalentForce HR Platform,Benefits administration seats,6020,seat,557,109.33,60896.81,USD,EMP-0504,EMP-0463,director,received,2026-01-28
PO-2026-0101,2,2026-01-05,co-106,TalentForce HR Platform,Payroll platform module,6020,seat,419,64.11,26862.09,USD,EMP-0504,EMP-0463,director,closed,2026-01-28
PO-2026-0102,1,2026-01-06,co-190,Wrenfallow Security Systems,Door hardware kits,1400,each,53,743.56,39408.68,USD,EMP-0546,EMP-0463,director,closed,2026-01-20
PO-2026-0102,2,2026-01-06,co-190,Wrenfallow Security Systems,Badge readers and controllers,1400,each,57,622.01,35454.57,USD,EMP-0546,EMP-0463,director,closed,2026-01-20
PO-2026-0102,3,2026-01-06,co-190,Wrenfallow Security Systems,Badge readers and controllers,1400,each,68,730.04,49642.72,USD,EMP-0546,EMP-0463,director,closed,2026-01-20
PO-2026-0103,1,2026-01-07,co-105,Millgate Insurance Services,Commercial package placement fee,6600,month,2,6446.69,12893.38,USD,EMP-0574,EMP-0465,manager,open,2026-02-02
PO-2026-0103,2,2026-01-07,co-105,Millgate Insurance Services,Certificate administration,6600,month,2,4760.95,9521.90,USD,EMP-0574,EMP-0465,manager,received,2026-02-02
PO-2026-0104,1,2026-01-08,co-190,Wrenfallow Security Systems,Door hardware kits,1400,each,9,511.83,4606.47,USD,EMP-0546,EMP-0465,manager,closed,2026-02-19
PO-2026-0105,1,2026-01-09,co-105,Millgate Insurance Services,Certificate administration,6600,month,6,6874.40,41246.40,USD,EMP-0574,EMP-0463,director,received,2026-01-21
PO-2026-0105,2,2026-01-09,co-105,Millgate Insurance Services,Commercial package placement fee,6600,month,9,7921.52,71293.68,USD,EMP-0574,EMP-0463,director,received,2026-01-21
PO-2026-0106,1,2026-01-12,co-184,Loamfield Power Cooperative,Demand charge true-up,6110,month,6,5514.24,33085.44,USD,EMP-0574,EMP-0465,manager,partially_received,2026-01-27
PO-2026-0106,2,2026-01-12,co-184,Loamfield Power Cooperative,"Electricity supply, Suite 400",6110,month,2,2868.21,5736.42,USD,EMP-0574,EMP-0465,manager,received,2026-01-27
PO-2026-0107,1,2026-01-12,co-187,Fenwhistle Travel Desk,Managed travel booking fees,6400,each,158,55.39,8751.62,USD,EMP-0252,EMP-0465,manager,closed,2026-02-22
PO-2026-0107,2,2026-01-12,co-187,Fenwhistle Travel Desk,Group rate coordination,6400,each,79,32.07,2533.53,USD,EMP-0252,EMP-0465,manager,closed,2026-02-22
PO-2026-0108,1,2026-01-13,co-181,Halvermoor Cloud Services,Production compute reservation,5000,month,2,18796.04,37592.08,USD,EMP-0027,EMP-0463,director,received,2026-02-17
PO-2026-0108,2,2026-01-13,co-181,Halvermoor Cloud Services,Managed database nodes,5000,month,9,11164.87,100483.83,USD,EMP-0027,EMP-0463,director,closed,2026-02-17
PO-2026-0108,3,2026-01-13,co-181,Halvermoor Cloud Services,Object storage tier,5000,month,8,13373.19,106985.52,USD,EMP-0027,EMP-0463,director,closed,2026-02-17
PO-2026-0109,1,2026-01-13,co-185,Thackenridge Courier,Overnight document courier,6120,each,22,51.02,1122.44,USD,EMP-0576,EMP-0465,manager,closed,2026-01-27
PO-2026-0110,1,2026-01-15,co-188,Fallowmere Catering,All-hands catering,6310,each,61,57.86,3529.46,USD,EMP-0503,EMP-0465,manager,closed,2026-01-25
PO-2026-0110,2,2026-01-15,co-188,Fallowmere Catering,Onsite lunch service,6310,each,145,49.08,7116.60,USD,EMP-0503,EMP-0465,manager,closed,2026-01-25
PO-2026-0111,1,2026-01-16,co-101,Copperline Software,Sandbox environment add-on,6200,license,25,2550.83,63770.75,USD,EMP-0020,EMP-0463,director,received,2026-01-27
PO-2026-0112,1,2026-01-16,co-181,Halvermoor Cloud Services,Object storage tier,5000,month,6,18862.35,113174.10,USD,EMP-0027,EMP-0463,director,closed,2026-01-31
PO-2026-0112,2,2026-01-16,co-181,Halvermoor Cloud Services,Object storage tier,5000,month,8,13040.59,104324.72,USD,EMP-0027,EMP-0463,director,closed,2026-01-31
PO-2026-0112,3,2026-01-16,co-181,Halvermoor Cloud Services,Production compute reservation,5000,month,3,11602.39,34807.17,USD,EMP-0027,EMP-0463,director,closed,2026-01-31
PO-2026-0113,1,2026-01-20,co-109,Birchcroft Properties,Suite 400 common area charge,6100,month,5,10654.12,53270.60,USD,EMP-0575,EMP-0463,director,received,2026-02-06
