claim_id,source_artifact,source_row_id,source_reference,counterparty,proposed_amount,proposed_gl_account,model_confidence,reviewer_verdict,reviewer_note
CLM-01,FIN-01,BNK-202603-0009,INV-2026-0459,Northfield Group,7316.77,1100,low,,
CLM-02,FIN-01,BNK-202603-0040,SETTLE-20260309,Anchor Point Bank,5538.56,1100,low,,
CLM-03,FIN-01,BNK-202603-0087,INV-2026-0436,Windrow Holdings,17561.07,1100,medium,,
CLM-04,FIN-01,BNK-202603-0091,AP-2026-0339,Fenwhistle Travel Desk,24330.57,6400,high,,
CLM-05,FIN-01,BNK-202603-0154,AP-2026-0354,DataPulse Analytics,34300.05,6200,high,,
CLM-06,FIN-01,BNK-202603-0175,INV-2026-0409,Wrenhaven Group,14568.96,1100,medium,,
CLM-07,FIN-01,BNK-202603-0178,INV-2026-0429,Wrenhaven Group,22543.40,1100,medium,,
CLM-08,FIN-02,JE-202603-0080,SETTLE-20260313,Anchor Point Bank,5599.11,1100,medium,,
CLM-09,FIN-02,JE-202603-0106,INV-2026-0463,Hazelmere Analytics,9886.68,1100,medium,,
CLM-10,FIN-02,JE-202603-0154,10452,Braxmoor Recruiting Group,1597.78,6040,low,,
CLM-11,FIN-02,JE-202603-0155,10453,Fallowmere Catering,2935.35,6400,low,,
CLM-12,FIN-02,JE-202603-0202,SETTLE-20260331,Anchor Point Bank,7790.11,1100,high,,
CLM-13,FIN-03,10449,JE-202603-0147,Loamfield Power Cooperative,1085.75,6105,medium,,
CLM-14,FIN-03,10459,JE-202603-0198,Kestrelmoor Staffing Partners,7744.38,6040,low,,
CLM-15,FIN-03,10460,JE-202603-0206,Halvermoor Cloud Services,6456.73,5000,medium,,
