dependent_id,employee_id,relationship,documentation_type,documentation_status,verified_date
DEP-0001,EMP-0001,child,birth_certificate,verified,2023-06-19
DEP-0002,EMP-0001,child,birth_certificate,verified,2025-06-03
DEP-0003,EMP-0001,child,birth_certificate,verified,2019-09-19
DEP-0004,EMP-0001,spouse,marriage_certificate,verified,2025-04-04
DEP-0005,EMP-0003,child,adoption_or_placement_record,verified,2025-07-29
DEP-0006,EMP-0003,child,birth_certificate,verified,2024-04-01
DEP-0007,EMP-0003,spouse,marriage_certificate,verified,2025-03-05
DEP-0008,EMP-0004,child,birth_certificate,verified,2024-08-12
DEP-0009,EMP-0004,child,birth_certificate,verified,2023-03-09
DEP-0010,EMP-0004,spouse,marriage_certificate,verified,2020-12-30
DEP-0011,EMP-0006,child,birth_certificate,verified,2025-11-06
DEP-0012,EMP-0008,child,birth_certificate,verified,2023-01-31
DEP-0013,EMP-0008,child,birth_certificate,verified,2022-06-09
DEP-0014,EMP-0008,spouse,marriage_certificate,verified,2022-01-11
DEP-0015,EMP-0013,child,birth_certificate,verified,2022-08-19
DEP-0016,EMP-0013,child,birth_certificate,verified,2021-07-22
DEP-0017,EMP-0013,child,birth_certificate,verified,2026-04-03
DEP-0018,EMP-0013,spouse,marriage_certificate,verified,2023-06-02
DEP-0019,EMP-0015,spouse,marriage_certificate,verified,2024-07-19
DEP-0020,EMP-0018,spouse,marriage_certificate,verified,2020-07-23
DEP-0021,EMP-0019,spouse,marriage_certificate,verified,2024-10-15
DEP-0022,EMP-0021,child,birth_certificate,verified,2026-03-03
DEP-0023,EMP-0021,child,birth_certificate,verified,2025-12-31
DEP-0024,EMP-0021,spouse,marriage_certificate,verified,2025-12-10
DEP-0025,EMP-0022,spouse,marriage_certificate,verified,2025-12-12
DEP-0026,EMP-0027,child,birth_certificate,verified,2023-03-30
DEP-0027,EMP-0028,child,birth_certificate,verified,2021-11-16
DEP-0028,EMP-0028,child,birth_certificate,verified,2021-06-10
DEP-0029,EMP-0028,child,adoption_or_placement_record,verified,2025-08-13
DEP-0030,EMP-0028,spouse,marriage_certificate,verified,2020-07-14
DEP-0031,EMP-0030,spouse,marriage_certificate,verified,2024-06-03
DEP-0032,EMP-0031,child,birth_certificate,verified,2025-11-04
DEP-0033,EMP-0031,child,birth_certificate,verified,2025-12-16
DEP-0034,EMP-0033,child,adoption_or_placement_record,verified,2021-03-23
DEP-0035,EMP-0033,child,birth_certificate,verified,2021-12-24
DEP-0036,EMP-0033,child,birth_certificate,verified,2022-02-11
DEP-0037,EMP-0034,spouse,marriage_certificate,verified,2024-10-04
DEP-0038,EMP-0035,child,birth_certificate,verified,2026-01-20
DEP-0039,EMP-0035,spouse,marriage_certificate,verified,2026-03-23
DEP-0040,EMP-0036,child,birth_certificate,verified,2024-11-14
DEP-0041,EMP-0036,child,birth_certificate,verified,2023-11-10
DEP-0042,EMP-0036,spouse,marriage_certificate,verified,2024-11-08
DEP-0043,EMP-0037,spouse,marriage_certificate,verified,2026-03-05
DEP-0044,EMP-0041,child,birth_certificate,verified,2025-09-05
