band_id,role_title,level,department,band_tier,headcount_in_band,band_min,band_mid,band_max,currency,band_effective_date,last_pay_review_date
BND-01,AP Clerk,IC,Finance,entry,7,30342.20,37927.75,45513.30,USD,2026-01-05,2025-04-30
BND-02,AR Clerk,IC,Finance,entry,5,30342.20,37927.75,45513.30,USD,2026-01-05,2025-06-30
BND-03,Account Executive,IC,Sales,core,19,36291.10,45363.87,54436.64,USD,2026-01-05,2025-04-30
BND-04,Chief Executive Officer,Executive,Executive,core,1,163665.72,204582.15,245498.58,USD,2026-01-05,2024-11-30
BND-05,Content Marketer,IC,Marketing,core,9,34867.91,43584.89,52301.87,USD,2026-01-05,2026-02-28
BND-06,Contracts Manager,IC,Legal,core,2,39137.46,48921.82,58706.18,USD,2026-01-05,2024-11-30
BND-07,Controller,IC,Finance,senior,3,43663.17,54578.96,65494.75,USD,2026-01-05,2025-12-31
BND-08,Corporate Counsel,IC,Legal,core,7,39137.46,48921.82,58706.18,USD,2026-01-05,2025-10-31
BND-09,Customer Success Manager,IC,Customer Success,core,19,32021.55,40026.94,48032.33,USD,2026-01-05,2025-09-30
BND-10,Customer Success Manager,Manager,Customer Success,core,10,49633.41,62041.76,74450.11,USD,2026-01-05,2024-12-31
BND-11,Demand Generation Specialist,IC,Marketing,core,12,34867.91,43584.89,52301.87,USD,2026-01-05,2025-09-30
BND-12,"Director, Customer Success",Director,Customer Success,core,4,68846.34,86057.93,103269.52,USD,2026-01-05,2025-10-31
BND-13,"Director, Engineering",Director,Engineering,core,9,93325.04,116656.30,139987.56,USD,2026-01-05,2025-03-31
BND-14,"Director, Finance",Director,Finance,core,2,79555.77,99444.71,119333.65,USD,2026-01-05,2026-03-31
BND-15,"Director, IT & Security",Director,IT & Security,core,2,85675.45,107094.31,128513.17,USD,2026-01-05,2025-01-31
BND-16,"Director, Legal",Director,Legal,core,1,84145.53,105181.91,126218.29,USD,2026-01-05,2025-01-31
BND-17,"Director, Marketing",Director,Marketing,core,2,74966.02,93707.52,112449.02,USD,2026-01-05,2026-02-28
BND-18,"Director, Operations",Director,Operations,core,2,71906.18,89882.72,107859.26,USD,2026-01-05,2025-01-31
BND-19,"Director, People",Director,People,core,2,73436.10,91795.12,110154.14,USD,2026-01-05,2025-03-31
BND-20,"Director, Product",Director,Product,core,3,88735.28,110919.10,133102.92,USD,2026-01-05,2025-04-30
BND-21,"Director, Sales",Director,Sales,core,6,78025.86,97532.32,117038.78,USD,2026-01-05,2024-04-30
BND-22,Engineering Manager,Manager,Engineering,core,27,67280.84,84101.05,100921.26,USD,2026-01-05,2024-05-31
BND-23,Enterprise Account Executive,IC,Sales,senior,24,42823.49,53529.36,64235.23,USD,2026-01-05,2024-06-30
BND-24,FP&A Analyst,IC,Finance,core,8,37002.69,46253.36,55504.03,USD,2026-01-05,2025-08-31
BND-25,Finance Manager,Manager,Finance,core,5,57354.16,71692.70,86031.24,USD,2026-01-05,2024-06-30
BND-26,HR Business Partner,IC,People,core,7,34156.32,42695.40,51234.48,USD,2026-01-05,2024-10-31
BND-27,IT & Security Manager,Manager,IT & Security,core,3,61766.02,77207.52,92649.02,USD,2026-01-05,2025-01-31
BND-28,IT Administrator,IC,IT & Security,core,10,39849.05,49811.31,59773.57,USD,2026-01-05,2025-04-30
BND-29,Legal Manager,Manager,Legal,core,2,60663.06,75828.82,90994.58,USD,2026-01-05,2025-09-30
BND-30,Marketing Manager,IC,Marketing,core,12,34867.91,43584.89,52301.87,USD,2026-01-05,2025-07-31
BND-31,Marketing Manager,Manager,Marketing,core,6,54045.26,67556.58,81067.90,USD,2026-01-05,2025-10-31
