employee_id,band_id,base_pay_amount,currency,pay_basis,compensation_effective_date,last_adjustment_date,work_location,synthetic_equity_cohort
EMP-0001,BND-04,188072.37,USD,annual,2026-03-06,2024-12-26,remote,cohort_a
EMP-0002,BND-55,173466.84,USD,annual,2026-01-05,2024-07-17,headquarters,cohort_b
EMP-0003,BND-13,107335.46,USD,annual,2026-02-25,2025-06-06,satellite_office,cohort_a
EMP-0004,BND-13,128823.55,USD,annual,2026-01-28,2025-09-11,headquarters,cohort_b
EMP-0005,BND-13,114253.18,USD,annual,2026-01-08,2024-07-03,headquarters,cohort_b
EMP-0006,BND-13,108210.38,USD,annual,2026-01-15,2025-11-03,remote,cohort_b
EMP-0007,BND-13,113704.90,USD,annual,2026-03-24,2025-09-22,headquarters,cohort_b
EMP-0008,BND-13,105690.61,USD,annual,2026-01-21,2024-07-05,remote,cohort_a
EMP-0009,BND-13,115583.06,USD,annual,2026-02-23,2025-04-11,headquarters,cohort_a
EMP-0010,BND-13,120144.32,USD,annual,2026-01-13,2025-07-04,headquarters,cohort_a
EMP-0013,BND-13,113389.92,USD,annual,2026-01-30,2024-06-05,satellite_office,cohort_b
EMP-0014,BND-22,82318.11,USD,annual,2026-02-13,2025-03-12,remote,cohort_a
EMP-0015,BND-22,70400.99,USD,annual,2026-01-05,2025-12-25,remote,cohort_b
EMP-0016,BND-22,83487.11,USD,annual,2026-03-19,2025-11-13,remote,cohort_b
EMP-0017,BND-22,79744.62,USD,annual,2026-01-22,2025-07-08,satellite_office,cohort_b
EMP-0018,BND-22,81191.15,USD,annual,2026-02-06,2025-04-24,remote,cohort_b
EMP-0019,BND-22,80627.68,USD,annual,2026-01-29,2025-06-06,headquarters,cohort_a
EMP-0020,BND-22,75228.39,USD,annual,2026-03-10,2024-09-09,remote,cohort_b
EMP-0021,BND-22,77398.20,USD,annual,2026-02-02,2025-12-23,headquarters,cohort_a
EMP-0022,BND-22,81275.25,USD,annual,2026-01-07,2025-06-18,remote,cohort_a
EMP-0023,BND-22,86884.79,USD,annual,2026-02-11,2024-05-16,headquarters,cohort_b
EMP-0024,BND-22,76119.86,USD,annual,2026-03-09,2025-05-13,remote,cohort_b
EMP-0025,BND-22,83260.04,USD,annual,2026-01-19,2025-05-02,headquarters,cohort_a
EMP-0026,BND-22,92494.33,USD,annual,2026-01-19,2024-10-28,headquarters,cohort_a
EMP-0027,BND-22,83377.78,USD,annual,2026-02-26,2025-05-22,satellite_office,cohort_a
EMP-0028,BND-22,80291.27,USD,annual,2026-02-25,2026-02-10,remote,cohort_b
EMP-0029,BND-22,82721.79,USD,annual,2026-04-01,2025-08-06,remote,cohort_b
EMP-0030,BND-22,92940.07,USD,annual,2026-02-27,2025-08-27,headquarters,cohort_b
EMP-0031,BND-22,81712.58,USD,annual,2026-01-22,2025-09-22,headquarters,cohort_b
EMP-0033,BND-22,86598.85,USD,annual,2026-04-02,2024-08-15,satellite_office,cohort_b
EMP-0034,BND-22,88970.50,USD,annual,2026-02-12,2025-06-04,headquarters,cohort_a
EMP-0035,BND-22,76094.63,USD,annual,2026-03-24,2025-04-17,remote,cohort_a
EMP-0036,BND-22,77288.86,USD,annual,2026-03-02,2024-12-31,satellite_office,cohort_a
EMP-0037,BND-22,83621.67,USD,annual,2026-03-30,2025-05-20,headquarters,cohort_a
EMP-0038,BND-22,76742.21,USD,annual,2026-01-20,2025-07-30,remote,cohort_a
EMP-0039,BND-22,78146.70,USD,annual,2026-02-05,2024-09-20,remote,cohort_a
EMP-0040,BND-22,72999.71,USD,annual,2026-02-25,2025-04-01,remote,cohort_b
EMP-0041,BND-22,75337.72,USD,annual,2026-01-28,2025-03-10,satellite_office,cohort_b
EMP-0042,BND-41,52506.18,USD,annual,2026-01-28,2025-08-08,remote,cohort_a
EMP-0043,BND-49,54079.69,USD,annual,2026-03-25,2025-02-27,remote,cohort_b
EMP-0044,BND-41,46950.09,USD,annual,2026-01-21,2025-06-19,remote,cohort_a
EMP-0045,BND-50,51849.65,USD,annual,2026-03-09,2024-08-12,satellite_office,cohort_a
EMP-0046,BND-50,46250.15,USD,annual,2026-01-05,2025-12-25,remote,cohort_a
EMP-0047,BND-49,52164.35,USD,annual,2026-01-23,2025-02-17,remote,cohort_a
EMP-0048,BND-49,51100.88,USD,annual,2026-02-18,2024-10-30,remote,cohort_b
EMP-0049,BND-50,53227.82,USD,annual,2026-03-11,2024-05-27,headquarters,cohort_a
EMP-0050,BND-49,57340.64,USD,annual,2026-03-24,2024-07-31,headquarters,cohort_b
EMP-0051,BND-49,57047.64,USD,annual,2026-03-26,2025-08-08,headquarters,cohort_b
EMP-0052,BND-41,54009.15,USD,annual,2026-01-08,2024-12-11,satellite_office,cohort_a
EMP-0053,BND-52,74337.96,USD,annual,2026-04-02,2024-08-26,headquarters,cohort_b
EMP-0054,BND-41,51594.64,USD,annual,2026-02-27,2026-01-20,headquarters,cohort_a
EMP-0055,BND-49,57725.87,USD,annual,2026-03-16,2025-05-14,headquarters,cohort_b
EMP-0056,BND-41,53976.59,USD,annual,2026-01-16,2025-02-21,satellite_office,cohort_b
EMP-0057,BND-50,49185.55,USD,annual,2026-01-09,2025-10-17,remote,cohort_b
EMP-0059,BND-50,52240.31,USD,annual,2026-03-31,2024-06-24,satellite_office,cohort_a
EMP-0060,BND-49,52408.52,USD,annual,2026-03-09,2025-08-22,headquarters,cohort_a
EMP-0061,BND-41,56483.35,USD,annual,2026-04-01,2025-04-08,headquarters,cohort_a
EMP-0062,BND-49,51795.39,USD,annual,2026-01-29,2025-04-14,remote,cohort_a
EMP-0063,BND-41,52625.55,USD,annual,2026-03-06,2024-05-09,headquarters,cohort_a
