exit_id,employee_id,exit_date,exit_type
ESR-01,EMP-0590,2023-03-01,voluntary_resignation
ESR-02,EMP-0091,2023-07-27,voluntary_resignation
ESR-03,EMP-0058,2023-09-04,voluntary_resignation
ESR-04,EMP-0088,2023-12-19,involuntary
ESR-05,EMP-0583,2024-06-13,voluntary_resignation
ESR-06,EMP-0403,2024-07-12,voluntary_resignation
ESR-07,EMP-0012,2024-08-20,voluntary_resignation
ESR-08,EMP-0582,2024-09-06,voluntary_resignation
ESR-09,EMP-0032,2024-09-26,involuntary
ESR-10,EMP-0011,2025-02-26,voluntary_resignation
ESR-11,EMP-0198,2025-03-27,voluntary_resignation
ESR-12,EMP-0134,2025-08-15,voluntary_resignation
ESR-13,EMP-0302,2025-11-17,voluntary_resignation
ESR-14,EMP-0143,2025-11-25,involuntary
ESR-15,EMP-0279,2025-12-08,involuntary
ESR-16,EMP-0520,2026-01-30,voluntary_resignation
ESR-17,EMP-0544,2026-02-03,involuntary
ESR-18,EMP-0505,2026-02-13,voluntary_resignation
