department,month_end,headcount,hires_in_month,voluntary_exits_in_month,involuntary_exits_in_month
Customer Success,2025-03-31,63,2,0,0
Customer Success,2025-04-30,64,1,0,0
Customer Success,2025-05-31,64,0,0,0
Customer Success,2025-06-30,65,1,0,0
Customer Success,2025-07-31,65,0,0,0
Customer Success,2025-08-31,65,0,0,0
Customer Success,2025-09-30,66,1,0,0
Customer Success,2025-10-31,67,1,0,0
Customer Success,2025-11-30,68,1,0,0
Customer Success,2025-12-31,68,0,0,0
Customer Success,2026-01-31,70,2,0,0
Customer Success,2026-02-28,71,1,0,0
Customer Success,2026-03-31,71,0,0,0
Engineering,2025-03-31,163,5,0,0
Engineering,2025-04-30,167,4,0,0
Engineering,2025-05-31,169,2,0,0
Engineering,2025-06-30,169,0,0,0
Engineering,2025-07-31,171,2,0,0
Engineering,2025-08-31,171,1,1,0
Engineering,2025-09-30,174,3,0,0
Engineering,2025-10-31,177,3,0,0
Engineering,2025-11-30,179,3,0,1
Engineering,2025-12-31,180,1,0,0
Engineering,2026-01-31,182,2,0,0
Engineering,2026-02-28,182,0,0,0
Engineering,2026-03-31,182,0,0,0
Executive,2025-03-31,1,0,0,0
Executive,2025-04-30,1,0,0,0
Executive,2025-05-31,1,0,0,0
Executive,2025-06-30,1,0,0,0
Executive,2025-07-31,1,0,0,0
Executive,2025-08-31,1,0,0,0
Executive,2025-09-30,1,0,0,0
Executive,2025-10-31,1,0,0,0
Executive,2025-11-30,1,0,0,0
Executive,2025-12-31,1,0,0,0
Executive,2026-01-31,1,0,0,0
Executive,2026-02-28,1,0,0,0
Executive,2026-03-31,1,0,0,0
Finance,2025-03-31,28,0,0,0
Finance,2025-04-30,28,0,0,0
Finance,2025-05-31,28,0,0,0
Finance,2025-06-30,28,0,0,0
Finance,2025-07-31,29,1,0,0
Finance,2025-08-31,32,3,0,0
Finance,2025-09-30,32,0,0,0
Finance,2025-10-31,34,2,0,0
Finance,2025-11-30,34,0,0,0
Finance,2025-12-31,34,0,0,0
Finance,2026-01-31,34,0,0,0
Finance,2026-02-28,36,2,0,0
Finance,2026-03-31,36,0,0,0
IT & Security,2025-03-31,25,1,0,0
IT & Security,2025-04-30,26,1,0,0
IT & Security,2025-05-31,26,0,0,0
IT & Security,2025-06-30,26,0,0,0
IT & Security,2025-07-31,27,1,0,0
IT & Security,2025-08-31,27,0,0,0
IT & Security,2025-09-30,27,0,0,0
IT & Security,2025-10-31,28,1,0,0
IT & Security,2025-11-30,29,1,0,0
IT & Security,2025-12-31,30,1,0,0
IT & Security,2026-01-31,30,0,0,0
IT & Security,2026-02-28,29,0,0,1
IT & Security,2026-03-31,29,0,0,0
Legal,2025-03-31,11,0,0,0
Legal,2025-04-30,11,0,0,0
Legal,2025-05-31,11,0,0,0
Legal,2025-06-30,11,0,0,0
Legal,2025-07-31,11,0,0,0
Legal,2025-08-31,11,0,0,0
Legal,2025-09-30,11,0,0,0
Legal,2025-10-31,12,1,0,0
Legal,2025-11-30,12,0,0,0
Legal,2025-12-31,12,0,0,0
Legal,2026-01-31,13,1,0,0
Legal,2026-02-28,13,0,0,0
Legal,2026-03-31,13,0,0,0
Marketing,2025-03-31,36,1,0,0
Marketing,2025-04-30,36,0,0,0
Marketing,2025-05-31,36,0,0,0
Marketing,2025-06-30,36,0,0,0
Marketing,2025-07-31,37,1,0,0
Marketing,2025-08-31,37,0,0,0
Marketing,2025-09-30,39,2,0,0
Marketing,2025-10-31,40,1,0,0
Marketing,2025-11-30,40,0,0,0
Marketing,2025-12-31,40,0,0,0
Marketing,2026-01-31,41,1,0,0
Marketing,2026-02-28,42,1,0,0
Marketing,2026-03-31,42,0,0,0
Operations,2025-03-31,25,0,0,0
Operations,2025-04-30,25,0,0,0
Operations,2025-05-31,25,0,0,0
Operations,2025-06-30,25,0,0,0
Operations,2025-07-31,27,2,0,0
Operations,2025-08-31,27,0,0,0
Operations,2025-09-30,27,0,0,0
Operations,2025-10-31,27,0,0,0
Operations,2025-11-30,27,0,0,0
Operations,2025-12-31,27,0,0,0
Operations,2026-01-31,27,0,0,0
Operations,2026-02-28,27,0,0,0
Operations,2026-03-31,27,0,0,0
People,2025-03-31,28,0,0,0
People,2025-04-30,28,0,0,0
People,2025-05-31,28,0,0,0
People,2025-06-30,28,0,0,0
People,2025-07-31,28,0,0,0
People,2025-08-31,28,0,0,0
People,2025-09-30,30,2,0,0
People,2025-10-31,30,0,0,0
People,2025-11-30,30,0,0,0
People,2025-12-31,30,0,0,0
People,2026-01-31,29,0,1,0
People,2026-02-28,28,0,1,0
People,2026-03-31,28,0,0,0
Product,2025-03-31,43,0,1,0
Product,2025-04-30,43,0,0,0
Product,2025-05-31,43,0,0,0
Product,2025-06-30,43,0,0,0
Product,2025-07-31,44,1,0,0
Product,2025-08-31,45,1,0,0
Product,2025-09-30,45,0,0,0
Product,2025-10-31,46,1,0,0
Product,2025-11-30,47,1,0,0
Product,2025-12-31,47,0,0,0
Product,2026-01-31,48,1,0,0
Product,2026-02-28,48,0,0,0
Product,2026-03-31,48,0,0,0
Sales,2025-03-31,89,3,0,0
Sales,2025-04-30,92,3,0,0
Sales,2025-05-31,93,1,0,0
Sales,2025-06-30,97,4,0,0
Sales,2025-07-31,97,0,0,0
Sales,2025-08-31,99,2,0,0
Sales,2025-09-30,101,2,0,0
Sales,2025-10-31,103,2,0,0
Sales,2025-11-30,104,2,1,0
Sales,2025-12-31,104,1,0,1
Sales,2026-01-31,105,1,0,0
Sales,2026-02-28,105,0,0,0
Sales,2026-03-31,105,0,0,0
