case_id,opened_date,case_type,subject_employee_id,assignee_employee_id,required_permission_tier,status,due_date
HRC-2026-0001,2026-03-02,leave_request_logging,EMP-0409,EMP-0524,2,open,2026-03-12
HRC-2026-0002,2026-03-02,onboarding_task_chase,EMP-0079,EMP-0517,1,in_progress,2026-03-10
HRC-2026-0003,2026-03-04,address_change,EMP-0212,EMP-0523,1,open,2026-03-09
HRC-2026-0004,2026-03-04,onboarding_task_chase,EMP-0106,EMP-0522,1,in_progress,2026-03-10
HRC-2026-0005,2026-03-06,grievance_intake,EMP-0250,EMP-0503,3,in_progress,2026-03-26
HRC-2026-0006,2026-03-09,payslip_reissue,EMP-0538,EMP-0512,1,open,2026-03-13
HRC-2026-0007,2026-03-11,leave_request_logging,EMP-0052,EMP-0526,2,in_progress,2026-03-18
HRC-2026-0008,2026-03-17,manager_coaching_request,EMP-0500,EMP-0526,2,in_progress,2026-04-06
HRC-2026-0009,2026-03-17,manager_coaching_request,EMP-0346,EMP-0527,2,in_progress,2026-03-23
HRC-2026-0010,2026-03-18,compensation_change_request,EMP-0489,EMP-0499,4,in_progress,2026-04-08
HRC-2026-0011,2026-03-18,termination_processing,EMP-0213,EMP-0526,4,open,2026-03-24
HRC-2026-0012,2026-03-19,investigation_note,EMP-0036,EMP-0503,3,open,2026-03-23
HRC-2026-0013,2026-03-19,leave_request_logging,EMP-0329,EMP-0524,2,open,2026-03-31
HRC-2026-0014,2026-03-20,onboarding_task_chase,EMP-0303,EMP-0506,1,in_progress,2026-03-30
HRC-2026-0015,2026-03-23,address_change,EMP-0099,EMP-0509,1,open,2026-04-13
HRC-2026-0016,2026-03-24,grievance_intake,EMP-0534,EMP-0501,3,open,2026-04-03
HRC-2026-0017,2026-03-25,benefits_enrollment_question,EMP-0481,EMP-0509,1,open,2026-04-14
HRC-2026-0018,2026-03-25,payslip_reissue,EMP-0592,EMP-0509,1,open,2026-03-31
HRC-2026-0019,2026-03-27,benefits_enrollment_question,EMP-0296,EMP-0509,1,in_progress,2026-04-06
HRC-2026-0020,2026-03-27,benefits_enrollment_question,EMP-0594,EMP-0522,1,open,2026-04-06
HRC-2026-0021,2026-03-31,performance_documentation,EMP-0081,EMP-0526,2,open,2026-04-20
HRC-2026-0022,2026-04-01,address_change,EMP-0271,EMP-0521,1,in_progress,2026-04-22
HRC-2026-0023,2026-04-01,performance_documentation,EMP-0108,EMP-0526,2,open,2026-04-16
HRC-2026-0024,2026-04-03,investigation_note,EMP-0068,EMP-0503,3,in_progress,2026-04-23
