employee_id,work_location,work_state,work_locality
EMP-0001,remote,US-NY,US-NY-NYC
EMP-0002,headquarters,US-DE,
EMP-0003,satellite_office,US-CO,
EMP-0004,headquarters,US-DE,
EMP-0005,headquarters,US-DE,
EMP-0006,remote,US-CA,
EMP-0007,headquarters,US-DE,
EMP-0008,remote,US-IL,
EMP-0009,headquarters,US-DE,
EMP-0010,headquarters,US-DE,
EMP-0013,satellite_office,US-CO,
EMP-0014,remote,US-NY,US-NY-NYC
EMP-0015,remote,US-NY,US-NY-NYC
EMP-0016,remote,US-CA,
EMP-0017,satellite_office,US-CO,
EMP-0018,remote,US-CO,
EMP-0019,headquarters,US-DE,
EMP-0020,remote,US-CA,
EMP-0021,headquarters,US-DE,
EMP-0022,remote,US-NY,US-NY-NYC
EMP-0023,headquarters,US-DE,
EMP-0024,remote,US-IL,
EMP-0025,headquarters,US-DE,
EMP-0026,headquarters,US-DE,
EMP-0027,satellite_office,US-CO,
EMP-0028,remote,US-CA,
EMP-0029,remote,US-CA,
EMP-0030,headquarters,US-DE,
EMP-0031,headquarters,US-DE,
EMP-0033,satellite_office,US-CO,
EMP-0034,headquarters,US-DE,
EMP-0035,remote,US-CO,
EMP-0036,satellite_office,US-CO,
EMP-0037,headquarters,US-DE,
EMP-0038,remote,US-IL,
EMP-0039,remote,US-CO,
EMP-0040,remote,US-IL,
EMP-0041,satellite_office,US-CO,
EMP-0042,remote,US-NY,US-NY-NYC
EMP-0043,remote,US-NY,US-NY-NYC
EMP-0044,remote,US-CO,
EMP-0045,satellite_office,US-CO,
EMP-0046,remote,US-IL,
EMP-0048,remote,US-CA,
EMP-0049,headquarters,US-DE,
EMP-0050,headquarters,US-DE,
EMP-0051,headquarters,US-DE,
EMP-0052,satellite_office,US-CO,
EMP-0053,headquarters,US-DE,
EMP-0054,headquarters,US-DE,
EMP-0055,headquarters,US-DE,
EMP-0056,satellite_office,US-CO,
EMP-0057,remote,US-DE,
EMP-0059,satellite_office,US-CO,
EMP-0060,headquarters,US-DE,
EMP-0061,headquarters,US-DE,
EMP-0062,remote,US-NY,US-NY-NYC
EMP-0063,headquarters,US-DE,
EMP-0064,remote,US-IL,
EMP-0065,headquarters,US-DE,
EMP-0066,satellite_office,US-CO,
EMP-0067,headquarters,US-DE,
EMP-0068,remote,US-CA,
EMP-0069,headquarters,US-DE,
EMP-0070,remote,US-DE,
EMP-0071,remote,US-IL,
EMP-0072,remote,US-CO,
EMP-0073,satellite_office,US-CO,
EMP-0074,remote,US-DE,
EMP-0075,satellite_office,US-CO,
EMP-0076,remote,US-CA,
EMP-0077,remote,US-CA,
EMP-0078,headquarters,US-DE,
EMP-0079,remote,US-IL,
EMP-0080,remote,US-CA,
EMP-0081,headquarters,US-DE,
EMP-0082,remote,US-NY,US-NY-NYC
EMP-0083,remote,US-CA,
EMP-0084,satellite_office,US-CO,
EMP-0085,headquarters,US-DE,
EMP-0086,satellite_office,US-CO,
EMP-0087,remote,US-CO,
EMP-0089,remote,US-IL,
EMP-0090,satellite_office,US-CO,
EMP-0092,remote,US-IL,
EMP-0093,headquarters,US-DE,
EMP-0094,remote,US-IL,
EMP-0095,satellite_office,US-CO,
EMP-0096,remote,US-CA,
EMP-0097,remote,US-CA,
EMP-0098,satellite_office,US-CO,
EMP-0099,remote,US-DE,
EMP-0100,remote,US-CA,
EMP-0101,remote,US-CA,
EMP-0102,headquarters,US-DE,
EMP-0103,satellite_office,US-CO,
EMP-0104,remote,US-CO,
EMP-0105,headquarters,US-DE,
EMP-0106,remote,US-NY,
EMP-0107,remote,US-DE,
EMP-0108,satellite_office,US-CO,
EMP-0109,satellite_office,US-CO,
EMP-0110,remote,US-DE,
EMP-0111,satellite_office,US-CO,
EMP-0112,remote,US-NY,US-NY-NYC
EMP-0113,headquarters,US-DE,
EMP-0114,satellite_office,US-CO,
EMP-0115,headquarters,US-DE,
EMP-0116,satellite_office,US-CO,
EMP-0117,headquarters,US-DE,
EMP-0118,remote,US-IL,
EMP-0119,remote,US-IL,
EMP-0120,headquarters,US-DE,
EMP-0121,satellite_office,US-CO,
EMP-0122,satellite_office,US-CO,
EMP-0123,satellite_office,US-CO,
EMP-0124,remote,US-IL,
EMP-0125,remote,US-IL,
EMP-0126,headquarters,US-DE,
EMP-0127,remote,US-CA,
EMP-0128,headquarters,US-DE,
EMP-0129,satellite_office,US-CO,
EMP-0130,satellite_office,US-CO,
EMP-0131,satellite_office,US-CO,
EMP-0132,remote,US-DE,
EMP-0133,satellite_office,US-CO,
EMP-0135,remote,US-CO,
EMP-0136,remote,US-CA,
EMP-0137,satellite_office,US-CO,
EMP-0138,satellite_office,US-CO,
EMP-0139,headquarters,US-DE,
EMP-0140,remote,US-NY,US-NY-NYC
EMP-0141,headquarters,US-DE,
EMP-0142,headquarters,US-DE,
EMP-0144,satellite_office,US-CO,
EMP-0145,satellite_office,US-CO,
EMP-0146,headquarters,US-DE,
EMP-0147,remote,US-NY,US-NY-NYC
EMP-0148,remote,US-CA,
EMP-0149,remote,US-CA,
EMP-0150,remote,US-CA,
EMP-0151,remote,US-NY,
EMP-0152,remote,US-DE,
EMP-0153,headquarters,US-DE,
EMP-0154,headquarters,US-DE,
EMP-0155,remote,US-CA,
EMP-0156,remote,US-CA,
EMP-0157,remote,US-NY,
EMP-0158,remote,US-DE,
EMP-0159,satellite_office,US-CO,
EMP-0160,remote,US-NY,US-NY-NYC
EMP-0161,headquarters,US-DE,
EMP-0162,headquarters,US-DE,
EMP-0163,remote,US-DE,
EMP-0164,remote,US-IL,
EMP-0165,remote,US-IL,
EMP-0166,headquarters,US-DE,
EMP-0167,remote,US-NY,US-NY-NYC
