year,category,amount_usd
2024,Outside counsel spend,416146
2025,Outside counsel spend,446525
2026,Outside counsel spend,448311
2024,Contract management platform,548085
2025,Contract management platform,535479
2026,Contract management platform,586885
2024,eDiscovery / litigation support,474069
2025,eDiscovery / litigation support,476913
2026,eDiscovery / litigation support,460698
2024,Compliance & training,419319
2025,Compliance & training,415126
2026,Compliance & training,457054
2024,Internal legal headcount,346691
2025,Internal legal headcount,388641
2026,Internal legal headcount,370764
2024,Legal AI tooling,383265
2025,Legal AI tooling,435006
2026,Legal AI tooling,420216
