payment_id,invoice_id,client_canon_id,invoice_date,invoice_amount_usd,due_date,payment_plan_id,installment_sequence,installment_due_date,installment_amount_usd,settlement_date,settled_amount_usd,settlement_status,method,record_type,mock_notice
PAY-LDB-2026-101,INV-LDB-2026-101,co-131,2026-02-09,29700.00,2026-02-16,,,,29700.00,2026-02-13,29700.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-102,INV-LDB-2026-102,co-131,2026-02-27,44550.00,2026-03-06,,,,44550.00,2026-03-04,44550.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-103,INV-LDB-2026-103,co-131,2026-03-13,44550.00,2026-03-20,,,,44550.00,2026-03-19,44550.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-104,INV-LDB-2026-104,co-131,2026-03-20,29700.00,2026-03-27,,,,29700.00,2026-03-27,29700.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-201,INV-LDB-2026-201,co-002,2026-02-03,9240.00,2026-02-18,,,,9240.00,2026-02-17,9240.00,settled,mock_check,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-202,INV-LDB-2026-202,co-002,2026-02-24,13860.00,2026-03-11,,,,13860.00,2026-03-10,13860.00,settled,mock_check,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-203,INV-LDB-2026-203,co-002,2026-03-10,13860.00,2026-03-25,,,,13860.00,2026-03-24,13860.00,settled,mock_check,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-204,INV-LDB-2026-204,co-002,2026-03-24,9240.00,2026-04-08,,,,9240.00,2026-03-31,9240.00,settled,mock_check,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-301,INV-LDB-2026-301,co-132,2026-02-02,17875.00,2026-02-17,,,,17875.00,2026-02-16,17875.00,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
PAY-LDB-2026-302,INV-LDB-2026-302,co-132,2026-02-13,21450.00,2026-02-28,PLN-LDB-01,1,2026-03-06,5362.50,2026-03-05,5362.50,settled,mock_bank_transfer,mock,"MOCK PAYMENT RECORD, NO FUNDS MOVED"
