claim_id,source_artifact,source_row_id,source_reference,client_canon_id,claimed_event_date,claimed_amount,model_confidence,reviewer_verdict,reviewer_note
DRL-01,SMB-04,PAY-LDB-2026-101,INV-LDB-2026-101,co-131,2026-02-13,29700.00,medium,,
DRL-02,SMB-04,PAY-LDB-2026-102,INV-LDB-2026-102,co-131,2026-03-04,44550.00,high,,
DRL-03,SMB-04,PAY-LDB-2026-103,INV-LDB-2026-103,co-131,2026-03-19,44550.00,high,,
DRL-04,SMB-04,PAY-LDB-2026-104,INV-LDB-2026-104,co-131,2026-03-27,29700.00,low,,
DRL-05,SMB-04,STG-2026-0101,inquiry_received,co-131,2026-01-12,,low,,
DRL-06,SMB-04,STG-2026-0102,site_visit,co-131,2026-01-19,,low,,
DRL-07,SMB-04,STG-2026-0103,proposal_sent,co-131,2026-01-26,,low,,
DRL-08,SMB-04,STG-2026-0105,contract_signed,co-131,2026-02-09,,medium,,
DRL-09,SMB-04,STG-2026-0106,deposit_invoiced,co-131,2026-02-09,29070.00,medium,,
DRL-10,SMB-04,STG-2026-0107,kickoff,co-131,2026-02-16,,medium,,
DRL-11,SMB-04,STG-2026-0108,milestone_demolition_complete,co-131,2026-02-27,,medium,,
DRL-12,SMB-04,STG-2026-0109,draw_1_invoiced,co-131,2026-02-27,44550.00,medium,,
DRL-13,SMB-04,STG-2026-0110,milestone_rough_in_complete,co-131,2026-03-13,,medium,,
DRL-14,SMB-04,STG-2026-0111,draw_2_invoiced,co-131,2026-03-13,44550.00,low,,
DRL-15,SMB-04,STG-2026-0112,substantial_completion,co-131,2026-03-18,,high,,
DRL-16,SMB-04,STG-2026-0113,final_invoiced,co-131,2026-03-20,29700.00,low,,
