entry_id,week_ending,job_id,scope,change_order_id,crew_role,crew_slot,hours,cost_rate_usd,entry_cost_usd,record_type
TME-LDB-01,2026-02-06,JOB-LDB-01,contract,,design,CRW-LDB-01,32,87.50,2800.00,mock
TME-LDB-02,2026-02-13,JOB-LDB-01,contract,,design,CRW-LDB-01,32,87.50,2800.00,mock
TME-LDB-03,2026-02-20,JOB-LDB-01,contract,,demolition,CRW-LDB-02,16,112.50,1800.00,mock
TME-LDB-04,2026-02-27,JOB-LDB-01,contract,,demolition,CRW-LDB-02,16,112.50,1800.00,mock
TME-LDB-05,2026-03-06,JOB-LDB-01,contract,,plumbing,CRW-LDB-03,48,72.50,3480.00,mock
TME-LDB-06,2026-03-13,JOB-LDB-01,contract,,plumbing,CRW-LDB-03,48,72.50,3480.00,mock
TME-LDB-07,2026-02-27,JOB-LDB-01,contract,,carpentry,CRW-LDB-04,72,65.00,4680.00,mock
TME-LDB-08,2026-03-06,JOB-LDB-01,contract,,carpentry,CRW-LDB-04,72,65.00,4680.00,mock
TME-LDB-09,2026-03-13,JOB-LDB-01,contract,,carpentry,CRW-LDB-04,72,65.00,4680.00,mock
TME-LDB-10,2026-03-20,JOB-LDB-01,contract,,carpentry,CRW-LDB-04,72,65.00,4680.00,mock
TME-LDB-11,2026-03-27,JOB-LDB-01,contract,,carpentry,CRW-LDB-04,72,65.00,4680.00,mock
TME-LDB-12,2026-03-20,JOB-LDB-01,contract,,paint,CRW-LDB-05,48,55.00,2640.00,mock
TME-LDB-13,2026-02-20,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-14,2026-02-27,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-15,2026-03-06,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-16,2026-03-13,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-17,2026-03-20,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-18,2026-03-27,JOB-LDB-01,contract,,project_management,CRW-LDB-06,16,95.00,1520.00,mock
TME-LDB-19,2026-02-13,JOB-LDB-02,contract,,design,CRW-LDB-01,16,87.50,1400.00,mock
TME-LDB-20,2026-02-13,JOB-LDB-02,contract,,demolition,CRW-LDB-02,8,112.50,900.00,mock
TME-LDB-21,2026-02-20,JOB-LDB-02,contract,,carpentry,CRW-LDB-04,42,65.00,2730.00,mock
TME-LDB-22,2026-02-27,JOB-LDB-02,contract,,carpentry,CRW-LDB-04,42,65.00,2730.00,mock
TME-LDB-23,2026-03-06,JOB-LDB-02,contract,,carpentry,CRW-LDB-04,42,65.00,2730.00,mock
TME-LDB-24,2026-03-13,JOB-LDB-02,contract,,paint,CRW-LDB-05,24,55.00,1320.00,mock
TME-LDB-25,2026-03-20,JOB-LDB-02,contract,,paint,CRW-LDB-05,24,55.00,1320.00,mock
TME-LDB-26,2026-02-20,JOB-LDB-02,contract,,project_management,CRW-LDB-06,14,95.00,1330.00,mock
TME-LDB-27,2026-03-20,JOB-LDB-02,contract,,project_management,CRW-LDB-06,14,95.00,1330.00,mock
TME-LDB-28,2026-02-06,JOB-LDB-03,contract,,design,CRW-LDB-01,12,87.50,1050.00,mock
TME-LDB-29,2026-02-13,JOB-LDB-03,contract,,design,CRW-LDB-01,12,87.50,1050.00,mock
TME-LDB-30,2026-02-20,JOB-LDB-03,contract,,demolition,CRW-LDB-02,24,112.50,2700.00,mock
TME-LDB-31,2026-03-06,JOB-LDB-03,contract,,plumbing,CRW-LDB-03,16,72.50,1160.00,mock
TME-LDB-32,2026-02-27,JOB-LDB-03,contract,,carpentry,CRW-LDB-04,44,65.00,2860.00,mock
TME-LDB-33,2026-03-06,JOB-LDB-03,contract,,carpentry,CRW-LDB-04,44,65.00,2860.00,mock
TME-LDB-34,2026-03-13,JOB-LDB-03,contract,,carpentry,CRW-LDB-04,44,65.00,2860.00,mock
TME-LDB-35,2026-03-20,JOB-LDB-03,contract,,paint,CRW-LDB-05,24,55.00,1320.00,mock
TME-LDB-36,2026-02-20,JOB-LDB-03,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-37,2026-03-20,JOB-LDB-03,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-38,2026-02-13,JOB-LDB-04,contract,,carpentry,CRW-LDB-04,34,65.00,2210.00,mock
TME-LDB-39,2026-02-20,JOB-LDB-04,contract,,carpentry,CRW-LDB-04,34,65.00,2210.00,mock
TME-LDB-40,2026-02-27,JOB-LDB-04,contract,,carpentry,CRW-LDB-04,34,65.00,2210.00,mock
TME-LDB-41,2026-03-06,JOB-LDB-04,contract,,carpentry,CRW-LDB-04,34,65.00,2210.00,mock
TME-LDB-42,2026-03-13,JOB-LDB-04,change_order,CHO-LDB-02,carpentry,CRW-LDB-04,22,65.00,1430.00,mock
TME-LDB-43,2026-03-13,JOB-LDB-04,contract,,paint,CRW-LDB-05,20,55.00,1100.00,mock
TME-LDB-44,2026-03-20,JOB-LDB-04,contract,,paint,CRW-LDB-05,20,55.00,1100.00,mock
TME-LDB-45,2026-02-20,JOB-LDB-04,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-46,2026-03-20,JOB-LDB-04,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-47,2026-02-06,JOB-LDB-05,contract,,design,CRW-LDB-01,16,87.50,1400.00,mock
TME-LDB-48,2026-02-13,JOB-LDB-05,contract,,design,CRW-LDB-01,16,87.50,1400.00,mock
TME-LDB-49,2026-02-20,JOB-LDB-05,contract,,demolition,CRW-LDB-02,32,112.50,3600.00,mock
TME-LDB-50,2026-03-06,JOB-LDB-05,contract,,plumbing,CRW-LDB-03,24,72.50,1740.00,mock
TME-LDB-51,2026-03-13,JOB-LDB-05,contract,,plumbing,CRW-LDB-03,24,72.50,1740.00,mock
TME-LDB-52,2026-02-27,JOB-LDB-05,contract,,carpentry,CRW-LDB-04,54,65.00,3510.00,mock
TME-LDB-53,2026-03-06,JOB-LDB-05,contract,,carpentry,CRW-LDB-04,54,65.00,3510.00,mock
TME-LDB-54,2026-03-13,JOB-LDB-05,contract,,carpentry,CRW-LDB-04,54,65.00,3510.00,mock
TME-LDB-55,2026-03-20,JOB-LDB-05,contract,,carpentry,CRW-LDB-04,54,65.00,3510.00,mock
TME-LDB-56,2026-03-27,JOB-LDB-05,contract,,carpentry,CRW-LDB-04,54,65.00,3510.00,mock
TME-LDB-57,2026-03-20,JOB-LDB-05,change_order,CHO-LDB-03,carpentry,CRW-LDB-04,60,65.00,3900.00,mock
TME-LDB-58,2026-02-20,JOB-LDB-05,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-59,2026-03-20,JOB-LDB-05,contract,,project_management,CRW-LDB-06,12,95.00,1140.00,mock
TME-LDB-60,2026-02-06,JOB-LDB-06,contract,,design,CRW-LDB-01,12,87.50,1050.00,mock
TME-LDB-61,2026-03-06,JOB-LDB-06,contract,,plumbing,CRW-LDB-03,12,72.50,870.00,mock
TME-LDB-62,2026-02-20,JOB-LDB-06,contract,,carpentry,CRW-LDB-04,38,65.00,2470.00,mock
TME-LDB-63,2026-02-27,JOB-LDB-06,contract,,carpentry,CRW-LDB-04,38,65.00,2470.00,mock
TME-LDB-64,2026-03-06,JOB-LDB-06,contract,,carpentry,CRW-LDB-04,38,65.00,2470.00,mock
TME-LDB-65,2026-03-20,JOB-LDB-06,change_order,CHO-LDB-04,carpentry,CRW-LDB-04,40,65.00,2600.00,mock
TME-LDB-66,2026-02-20,JOB-LDB-06,contract,,project_management,CRW-LDB-06,8,95.00,760.00,mock
TME-LDB-67,2026-03-20,JOB-LDB-06,contract,,project_management,CRW-LDB-06,8,95.00,760.00,mock
